product_id,run_id_source,mnn_enrichment_run_id,normalized_text,product_kind,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,source_canonical_json,component_stats_json,resolved_mnn,resolved_mnn_components,mnn_resolution_status,resolution_reason,resolved_rx_otc,resolved_age_segment,needs_mnn_enrichment,enrichment_called,mnn_enrichment_status,mnn_enriched,rx_otc_enriched,age_enriched,final_candidate_mnn,final_mnn_method,retry_count,needs_human_review,evidence_urls,idempotency_key
1448,398,405,ШИПОВНИКА ПЛОДЫ 100Г ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО,drug,Шиповника плоды,otc,,,Этилметилгидроксипиридина сукцинат,rx,,,,otc,"[{""source"": ""asna"", ""raw_mnn"": ""Этилметилгидроксипиридина сукцинат"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Этилметилгидроксипиридина сукцинат""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": null, ""field_type"": ""unknown"", ""canonical_components"": [], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,single_source,unknown,unknown,True,True,ok,Шиповника плоды,otc,универсальный,Шиповника плоды,enrichment,1,False,https://pharmproduct.ru/drugs/sipovnika-plody | https://www.lsgeotar.ru/drugs/rosae-fructus-AFAn | https://www.lsgeotar.ru/drugs/rose-hips-BBP7 | https://www.medsovet.info/herb/17228 | https://www.vidal.ru/drugs/rosae_fructus__17274 | https://www.vidal.ru/drugs/rosae_fructus__20450 | https://medum.ru/plody-shipovnika | https://zdesapteka.ru/instructions/shipovnika-plody/ | https://medi.ru/instrukciya/shipovnika-plody_24817/ | https://health.mail.ru/drug/shipovnika-plody-1/ | https://drugs.medelement.com/drug/%D1%88%D0%B8%D0%BF%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%B0-%D0%BF%D0%BB%D0%BE%D0%B4%D1%8B-%D0%B8%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F/729749741477650935?instruction_lang=RU | https://www.lsgeotar.ru/ru/shipovnika-plodi-14524.html,bb61ab557174d7312d9ab292e6aba7be
3020,398,405,ФЛУОМИЗИН ТАБЛ. ВАГ. 10МГ №6 | РОТТЕНДОРФ ФАРМА ГМБХ/МЕДИНОВА АГ | РОТТЕНДОРФ ФАРМА ГМБХ/МЕДИНОВА АГ,drug,декалиния хлорид,rx,Деквалиния хлорид,otc,Деквалиния хлорид,otc,Деквалиния хлорид,,Деквалиния хлорид,otc,"[{""source"": ""uteka"", ""raw_mnn"": ""Деквалиния хлорид"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Деквалиния хлорид""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Деквалиния хлорид"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Деквалиния хлорид""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Деквалиния хлорид"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Деквалиния хлорид""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Деквалиния хлорид"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Деквалиния хлорид""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Деквалиния хлорид"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Деквалиния хлорид,Деквалиния хлорид,resolved_catalog,consensus,otc,unknown,False,False,,,unknown,unknown,Деквалиния хлорид,catalog_consensus,0,False,,a4aa09e5ee6e8294baf44d630ea8a66e
3079,398,405,ФЛУИМУЦИЛ ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 200МГ ПАК. №20 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,drug,Ацетилцистеин,rx,Ацетилцистеин,otc,Ацетилцистеин,rx,,,Ацетилцистеин,otc,"[{""source"": ""uteka"", ""raw_mnn"": ""Ацетилцистеин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ацетилцистеин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Ацетилцистеин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ацетилцистеин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Ацетилцистеин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ацетилцистеин""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Ацетилцистеин"", ""source_count"": 3, ""sources"": [""uteka"", ""asna"", ""vidal""]}]",Ацетилцистеин,Ацетилцистеин,resolved_catalog,consensus,otc,unknown,False,False,,,unknown,unknown,Ацетилцистеин,catalog_consensus,0,False,,d88b970fb87e971be2c7376356e4b055
4294,398,405,ТРОМБОСТЕН ТАБЛ. КИШ-РАСТ. П/ПЛЕН/ОБ. 50МГ №100 | ОЗОН ООО | ОЗОН ООО,drug,,rx,Ацетилсалициловая кислота,otc,Ацетилсалициловая кислота,otc,Ацетилсалициловая кислота,,Ацетилсалициловая кислота,otc,"[{""source"": ""uteka"", ""raw_mnn"": ""Ацетилсалициловая кислота"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ацетилсалициловая кислота""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Ацетилсалициловая кислота"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ацетилсалициловая кислота""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Ацетилсалициловая кислота"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ацетилсалициловая кислота""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Ацетилсалициловая кислота"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ацетилсалициловая кислота""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Ацетилсалициловая кислота"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Ацетилсалициловая кислота,Ацетилсалициловая кислота,resolved_catalog,consensus,otc,unknown,False,False,,,unknown,unknown,Ацетилсалициловая кислота,catalog_consensus,0,False,,e2b26d692127c27fa1b9b6be42b05e1d
6122,399,405,СОЛУ-КОРТЕФ ЛИОФ. Д/Р-РА ДЛЯ В/В В/М ВВЕД. 100МГ ФЛ. №1 С Р-ЛЕМ 2МЛ | ПФАЙЗЕР МФГ. БЕЛЬГИЯ Н.В. | ПФАЙЗЕР МФГ. БЕЛЬГИЯ Н.В.,drug,Гидрокортизон,rx,Гидрокортизон,rx,Гидрокортизон,rx,Гидрокортизон,rx,Гидрокортизон,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Гидрокортизон"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Гидрокортизон""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Гидрокортизон"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Гидрокортизон""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Гидрокортизон"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Гидрокортизон""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Гидрокортизон"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Гидрокортизон""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Гидрокортизон"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Гидрокортизон,Гидрокортизон,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Гидрокортизон,catalog_consensus,0,False,,736ce81c54d145f6bdda021905c6f015
7787,399,405,РОЗУЛИП ПЛЮС КАПС. 20МГ+10МГ №30 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО,drug,,rx,,,Розувастатин+Эзетимиб,rx,"Эзетимиб, Розувастатин",rx,Эзетимиб,rx,"[{""source"": ""apteka"", ""raw_mnn"": ""Эзетимиб, Розувастатин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эзетимиб"", ""Розувастатин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Розувастатин+Эзетимиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Розувастатин"", ""Эзетимиб""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Эзетимиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эзетимиб""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Эзетимиб"", ""source_count"": 3, ""sources"": [""apteka"", ""asna"", ""vidal""]}, {""component"": ""Розувастатин"", ""source_count"": 2, ""sources"": [""apteka"", ""asna""]}]","Эзетимиб, Розувастатин","Эзетимиб, Розувастатин",resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,"Эзетимиб, Розувастатин",catalog_consensus,0,False,,70dd42a6cc3432770673d8023eb0fb9b
8122,399,405,РИБОКСИН Р-Р ДЛЯ В/В ВВЕД. 20МГ/МЛ АМП. 5МЛ №10 ДАЛЬХИМФАРМ | ДАЛЬХИМФАРМ ОАО | ДАЛЬХИМФАРМ ОАО,drug,Инозин,rx,Инозин,rx,Инозин,rx,Инозин,rx,Инозин,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Инозин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Инозин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Инозин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Инозин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Инозин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Инозин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Инозин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Инозин""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Инозин"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Инозин,Инозин,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Инозин,catalog_consensus,0,False,,fa227b30d089735c17512f1ee7e51634
8428,399,405,РЕАФЕРОН-ЕС-ЛИПИНТ ЛИОФ. Д/СУСП. Д/ПРИЕМА ВНУТРЬ 500ТЫС.МЕ ФЛ. №5 | ВЕКТОР-МЕДИКА АО | ВЕКТОР-МЕДИКА АО,drug,Интерферон альфа-2b,rx,Интерферон альфа-2b,otc,Интерферон альфа-2b,rx,Интерферон альфа-2b,rx,1-(4-бромфенил)виолуровая кислота,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Интерферон альфа-2b"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Интерферон альфа-2b""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Интерферон альфа-2b"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Интерферон альфа-2b""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Интерферон альфа-2b"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Интерферон альфа-2b""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""1-(4-бромфенил)виолуровая кислота"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""1-(4-бромфенил)виолуровая Кислота""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Интерферон альфа-2b"", ""source_count"": 3, ""sources"": [""uteka"", ""apteka"", ""asna""]}]",Интерферон альфа-2b,Интерферон альфа-2b,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Интерферон альфа-2b,catalog_consensus,0,False,,5e3d9d288d928ce16e2474d84860cb9c
9303,399,405,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г КРАСНОГОРСКЛЕКСРЕДСТВА | КРАСНОГОРСКЛЕКСРЕДСТВА | КРАСНОГОРСКЛЕКСРЕДСТВА,drug,Полыни горькой трава,otc,,,Ромашки аптечной цветки,otc,,,,,"[{""source"": ""asna"", ""raw_mnn"": ""Ромашки аптечной цветки"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ромашки аптечной цветки""], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,single_source,unknown,unknown,True,True,ok,Полыни горькой трава,otc,универсальный,Полыни горькой трава,enrichment,0,False,https://pharmproduct.ru/drugs/polyni-gorkoi-trava | https://www.lsgeotar.ru/drugs/bitter-wormwood-herb-BA8e | https://allmed.pro/ru/drugs/polyni-gorkoj-trava | https://health.mail.ru/drug/polyni-gorkoy-trava-1/ | https://apteka.ru/product/polyni-gorkoj-trava-50-gr-5e3274b1ca7bdc00019329ea/instructions/ | https://pharmproduct.ru/drugs/polyni-gorkoi-trava | https://pharmznanie.ru/drugs/polyni-gorkoj-trava-50-g | https://health.mail.ru/drug/polyni-gorkoy-trava/ | https://medi.ru/instrukciya/polyni-gorkoj-trava_12705/ | https://health.mail.ru/drug/polyni-gorkoy-trava-1/ | https://www.rlsnet.ru/drugs/polyni-gorkoi-trava-4783 | https://medi.ru/instrukciya/polyni-gorkoy-trava_22517/,f0102cff4321be28d988cc282cdfc826
10366,399,405,ОРНИДАЗОЛ-OBL ТАБЛ. П/ПЛЕН/ОБ. 500МГ №10 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,drug,Орнидазол,rx,Орнидазол,rx,,,Орнидазол,rx,Орнидазол,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Орнидазол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Орнидазол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Орнидазол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Орнидазол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Орнидазол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Орнидазол""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Орнидазол"", ""source_count"": 3, ""sources"": [""uteka"", ""apteka"", ""vidal""]}]",Орнидазол,Орнидазол,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Орнидазол,catalog_consensus,0,False,,a1d1bd18e3e6a99117bb535c6f94de24
