product_id,normalized_text,final_candidate_mnn,final_mnn_method,mnn_resolution_status,mnn_enrichment_status,needs_human_review,label_mnn,label_notes
4481,ТРАНЕКСАМОВАЯ КИСЛОТА ТАБЛ. П/ПЛЕН/ОБ. 250МГ №30 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,catalog_consensus,resolved_catalog,,False,,
4487,ТРАНЕКСАМОВАЯ КИСЛОТА Р-Р ДЛЯ В/В ВВЕД. 50МГ/МЛ АМП. 5МЛ №10 МЭЗ | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП | МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД ФГУП,Транексамовая кислота,catalog_consensus,resolved_catalog,,False,,
10,"НАТРИЯ ХЛОРИД 0,9% 400мл N12 р-р д/инфузий Биосинтез | Биосинтез ПАО | Биосинтез ПАО | N12",Натрия хлорид,enrichment,unresolved_catalog,ok,False,,
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,Гепарин натрия,enrichment,unresolved_catalog,ok,False,,
60,ДИКЛОФЕНАК 25мг/мл 3мл N10 р-р для в/м введения Дальхимфарм ОАО | Дальхимфарм ОАО | Дальхимфарм ОАО | N10,Диклофенак,enrichment,unresolved_catalog,ok,False,,
86,ТАДАЛАФИЛ-АЛИУМ 20мг N8 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N8,Тадалафил,enrichment,unresolved_catalog,ok,False,,
354,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО",Эхинацеи пурпурной трава,enrichment,unresolved_catalog,ok,False,,
1217,"ЭВКАЛИПТА ПРУТОВИДНОГО ЛИСТЬЯ Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Эвкалипта прутовидного листья,enrichment,unresolved_catalog,ok,False,,
1638,ЧЕРЕДЫ ТРАВА 50Г ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО,Череды трехраздельной трава,enrichment,unresolved_catalog,ok,False,,
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО",Тимьяна ползучего трава,enrichment,unresolved_catalog,ok,False,,
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Нитрофурал,enrichment,unresolved_catalog,ok,False,,
4570,ТОРАСЕМИД ТАБЛ. 5МГ №60 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Торасемид,enrichment,unresolved_catalog,ok,False,,
4602,ТОРАСЕМИД МЕДИСОРБ ТАБЛ. 5МГ №20 | Медисорб АО | Медисорб АО,Торасемид,enrichment,unresolved_catalog,ok,False,,
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Тамоксифен,enrichment,unresolved_catalog,ok,False,,
5287,"ТАДАЛАФИЛ-ТЕВА ТАБЛ. П/ПЛЕН/ОБ. 20МГ №8 | ТЕВА ФАРМА, С.Л.У. | ТЕВА ФАРМА, С.Л.У.",Тадалафил,enrichment,unresolved_catalog,ok,False,,
5729,СТОМАТОФИТ ФРЕШ ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА ФЛ. 250МЛ | Фитофарм кленка АО | Фитофарм кленка АО,"Ромашки Аптечной Цветки, Дуба Кора, Шалфея Лекарственного Листья, Арники Трава, Аира Обыкновенного Корневища, Мяты Перечной Трава, Тимьяна Трава",enrichment,unresolved_catalog,ok,False,,
6593,СИНДРАНОЛ ТАБЛ. ПРОЛОНГ. П/ПЛЕН/ОБ. 8МГ №28 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А. | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А.,Ропинирол,enrichment,unresolved_catalog,ok,False,,
7625,РОСИНСУЛИН С МЕДСИНТЕЗ СУСП. ДЛЯ П/К ВВЕД. 100МЕ/МЛ КАРТРИДЖ 3МЛ №5 | ЗАВОД МЕДСИНТЕЗ ООО | ЗАВОД МЕДСИНТЕЗ ООО,Инсулин человеческий,enrichment,unresolved_catalog,ok,False,,
7651,РОМАШКИ АПТЕЧНОЙ ЦВЕТКИ 50Г ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО,Ромашки аптечной цветки,enrichment,unresolved_catalog,ok,False,,
7807,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 5МГ №30 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Розувастатин,enrichment,unresolved_catalog,ok,False,,
7816,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 ОЗОН | ОЗОН ООО | ОЗОН ООО,Розувастатин,enrichment,unresolved_catalog,ok,False,,
7858,РОЗУВАСТАТИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Розувастатин,enrichment,unresolved_catalog,ok,False,,
8055,РИМАСОПТ ВМ КАПЛИ ГЛАЗНЫЕ 2МГ/МЛ+5МГ/МЛ ФЛ. 5МЛ №1 | Уорлд медицин илач сан. ве тидж. Аш | Уорлд медицин илач сан. ве тидж. Аш,"Бримонидин, Тимолол",enrichment,unresolved_catalog,ok,False,,
8566,РАБИЕТ КАПС. КИШ/РАСТ. 20МГ №14 АЛИУМ | АЛИУМ АО | АЛИУМ АО,Рабепразол,enrichment,unresolved_catalog,ok,False,,
9096,"ПРЕДНИЗОЛОН МАЗЬ Д/НАРУЖ. ПРИМ. 0,5% ТУБА 15Г БИОСИНТЕЗ | БИОСИНТЕЗ ПАО | БИОСИНТЕЗ ПАО",Преднизолон,enrichment,unresolved_catalog,ok,False,,
9301,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Полыни горькой трава,enrichment,unresolved_catalog,ok,False,,
9306,ПОЛИФЕПАН ПОР. Д/ПРИЕМА ВНУТРЬ ПАК. 10Г №10 | ВОСТОК ООО | ВОСТОК ООО,Лигнин гидролизный,enrichment,unresolved_catalog,ok,False,,
9511,ПИОНА НАСТОЙКА РЕНЕВАЛ ФЛ. 25МЛ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"Пиона уклоняющегося травы, корневищ и корней настойка",enrichment,unresolved_catalog,ok,False,,
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,,,unresolved_catalog,ok,True,,
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,,,unresolved_catalog,ok,True,,
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,,,unresolved_catalog,ok,True,,
249,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,,,unresolved_catalog,ok,True,,
2348,ХИЛАК ФОРТЕ КАПЛИ Д/ПРИЕМА ВНУТРЬ ВИШНЯ ФЛ. 100МЛ | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,,,unresolved_catalog,ok_partial,True,,
3763,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,,,unresolved_catalog,ok,True,,
5322,"ТАВОЛГА ВЯЗОЛИСТНАЯ (ЛАБАЗНИК) ТРАВА Ф/П 1,5Г №20 ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО",,,unresolved_catalog,ok,True,,
6506,СИРОП ШИПОВНИКА ФЛ. 250МЛ МИРРОЛЛА | МИРРОЛЛА ООО | МИРРОЛЛА ООО,,,unresolved_catalog,ok_partial,True,,
8201,РЕПЕШОК ОБЫКНОВЕННЫЙ ТРАВА 50Г ЭВАЛАР | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,,,unresolved_catalog,ok,True,,
8753,ПРОСТАНОРМ ЭКСТРАКТ Д/ПРИЕМА ВНУТРЬ ЖИДК. ФЛ. 100МЛ | ФАРМВИЛАР НПО ООО | ФАРМВИЛАР НПО ООО,,,unresolved_catalog,ok_partial,True,,
