product_id,normalized_text_full,rx_otc_identity_text,rx_otc_identity_query,brand,form,strength,pack,manufacturer,m2_gate,logical_search_query_count,transport_retry_attempt_count,fetched_page_count,budget_exhausted,stop_reason,best_p1_source_url,best_p1_source_type,best_p1_identity_grade,best_p1_explicit_status_text,best_p1_candidate_rx_otc_value,best_p1_validation_passed,best_p1_reject_reason,best_p2_source_url,best_p2_source_type,best_p2_identity_grade,best_p2_explicit_status_text,best_p2_candidate_rx_otc_value,best_p2_validation_passed,candidate_rx_otc_value,final_rx_otc_value,outcome,evidence_tier,conflict_status,error_code,p1_feasibility_status,p1_feasibility_reason,form_mismatch_detected,near_brand_detected,used_mnn_as_primary_query,contract_version
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL капсулы 150 мг N4 ОБОЛЕНСКОЕ ФП АО,"""ФЛУКОНАЗОЛ-OBL"" ""капсулы"" ""150 мг""",ФЛУКОНАЗОЛ-OBL,капсулы,150 мг,N4,ОБОЛЕНСКОЕ ФП АО,pass,7,1,4,True,fetch_budget,,,,,,,,https://www.vidal.ru/drugs/fluconazole-obl__37379,rls_or_vidal_product_card,A,(fluconazole) Rec.INN зарегистрированное ВОЗ Лекарственные формы Флуконазол-OBL Без рецепта Капсулы 150 мг: 1 шт. РУ: ЛП-№(001911)-(РГ-RU) от 09.03.23 - Бессрочно Дата переоформления: 24.09.24 Препарат отпускает,otc,True,otc,,supported_only,tier_2_supported_soft_signal,no_conflict,,p1_not_found,no GRLS/official/MAH document fetched,False,False,False,rx_otc_evidence_contract_v2
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН спрей 1% ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,"""ТЕРМИКОН"" ""спрей"" ""1%""",ТЕРМИКОН,спрей,1%,,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,pass,7,1,4,True,fetch_budget,https://grls.rosminzdrav.ru/Grls_View_v2.aspx?routingGuid=150b2fd7-dd3c-4227-aa69-61c4de6db279&t,grls_official_product_record,D,ивать) 0.5 мл (1 доза) - шприцы - пачки картонные /в комплекте с иглой-1 шт./ - По рецепту 0.5 мл (1 доза) - шприцы (10 шт.) - пачки картонные /в комплекте с иглами-10 шт./ - для лечебно-профилактических учрежд,,False,identity_d,https://www.vidal.ru/drugs/termicon__13678,rls_or_vidal_product_card,D,,,False,,,unresolved,,unknown,E_LADDER_EXHAUSTED,p1_found_but_identity_insufficient,identity_d,True,False,False,rx_otc_evidence_contract_v2
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,ТЕРМИКОН крем 1% ЛЕККО ЗАО,"""ТЕРМИКОН"" ""крем"" ""1%""",ТЕРМИКОН,крем,1%,,ЛЕККО ЗАО,pass,7,1,4,True,fetch_budget,,,,,,,,https://www.vidal.ru/drugs/termicon__13678,rls_or_vidal_product_card,A,,,False,,,unresolved,,unknown,E_NO_EXPLICIT_STATUS,p1_not_found,no GRLS/official/MAH document fetched,False,False,False,rx_otc_evidence_contract_v2
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,ДЮСПАТАЛИН таблетки 135 мг N15 ВЕРОФАРМ АО,"""ДЮСПАТАЛИН"" ""таблетки"" ""135 мг""",ДЮСПАТАЛИН,таблетки,135 мг,N15,ВЕРОФАРМ АО,pass,7,1,4,True,fetch_budget,,,,,,,,https://www.vidal.ru/drugs/duspatalin__33504,rls_or_vidal_product_card,A,грудью Противопоказан для детей C осторожностью применяется у пожилых пациентов Без рецепта Входит в список «Жизненно необходимых и важнейших лекарственных препаратов» Температура хранения: от 2 до 30 °С Поиск а,otc,True,otc,,supported_only,tier_2_supported_soft_signal,no_conflict,,p1_not_found,no GRLS/official/MAH document fetched,True,False,False,rx_otc_evidence_contract_v2
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,АМБРОКСОЛ таблетки 30 мг N20 ВЕРТЕКС АО,"""АМБРОКСОЛ"" ""таблетки"" ""30 мг""",АМБРОКСОЛ,таблетки,30 мг,N20,ВЕРТЕКС АО,pass,8,1,0,True,,,,,,,,,,,,,,,,,unresolved,,unknown,E_NO_EXPLICIT_STATUS,p1_not_found,no GRLS/official/MAH document fetched,False,False,False,rx_otc_evidence_contract_v2
