product_id,normalized_text,normalized_text_full_v4,product_identity_text_v4,enrichment_query_text_v4,enrichment_query_disambiguator_v4,normalized_text_full_v4_1,product_identity_text_v4_1,enrichment_query_text_v4_1,enrichment_query_disambiguator_v4_1,enrichment_retrieval_text_v4_1,source_char_count,query_v4_char_count,query_v4_1_char_count,retrieval_v4_1_char_count,container_type_raw_v4_1,container_type_v4_1,unit_content_amount_v4_1,pack_unit_count_v4_1,pack_structure_raw_v4_1,pack_structure_v4_1,pack_parse_status_v4_1,pack_parse_warnings_v4_1,brand_or_product_name_v4,brand_or_product_name_v4_1,dosage_form_v4,dosage_form_v4_1,strength_v4,strength_v4_1,manufacturer_v4_1,normalization_flags_v4_1,normalization_warnings_v4_1,safety_flags_v4_1,m5_0_label_norm_v4_identity_preserved,m5_0_label_norm_v4_query_appropriate,m5_0_label_norm_v4_notes,m5_1_resolution_status,m5_1_resolution_reason,query_gained_container_v4_1,query_gained_unit_amount_v4_1,query_gained_pack_count_v4_1,role_assignment_ok_v4_1,possible_brand_loss_v4_1,possible_form_loss_v4_1,possible_strength_loss_v4_1,possible_pack_loss_v4_1
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,САМБУКУС БУЗИНА ИММУНИТЕТ; таблетки; 700 мг; N30; производитель: Грин Сайд ООО,Самбукус Бузина Иммунитет; таблетки; 700 мг; N30; Грин Сайд ООО,Самбукус Бузина Иммунитет таблетки 700 мг N30,Грин Сайд ООО,Самбукус Бузина Иммунитет; таблетки; 700 мг; N30; производитель: Грин Сайд ООО,Самбукус Бузина Иммунитет; таблетки; 700 мг; N30; Грин Сайд ООО,Самбукус Бузина Иммунитет таблетки 700 мг N30,Грин Сайд ООО,"Самбукус Бузина Иммунитет таблетки 700 мг N30, Грин Сайд ООО",99,45,45,60,,unknown,,N30,N30,N30,parsed,,Самбукус Бузина Иммунитет,Самбукус Бузина Иммунитет,таблетки,таблетки,700 мг,700 мг,Грин Сайд ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,"ГЕСПЕРИДИН+ДИОСМИН; таблетки, покрытые пленочной оболочкой; 100 мг + 900 мг; N30; производитель: Алиум АО",Гесперидин+Диосмин; таблетки; 100 мг + 900 мг; N30; Алиум АО,Гесперидин+Диосмин таблетки 100 мг + 900 мг N30,Алиум АО,"Гесперидин+Диосмин; таблетки, покрытые пленочной оболочкой; 100 мг + 900 мг; N30; производитель: Алиум АО",Гесперидин+Диосмин; таблетки; 100 мг + 900 мг; N30; Алиум АО,Гесперидин+Диосмин таблетки 100 мг + 900 мг N30,Алиум АО,"Гесперидин+Диосмин таблетки 100 мг + 900 мг N30, Алиум АО",105,47,47,57,,unknown,,N30,N30,N30,parsed,,Гесперидин+Диосмин,Гесперидин+Диосмин,таблетки,таблетки,100 мг + 900 мг,100 мг + 900 мг,Алиум АО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
92,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,"ДИНАМИКО ЛОНГ; таблетки, покрытые пленочной оболочкой; 20 мг; N8; производитель: Тева Фармацевтические Предприятия Лтд.",Динамико Лонг; таблетки; 20 мг; N8; Тева Фармацевтические Предприятия Лтд.,Динамико Лонг таблетки 20 мг N8,Тева Фармацевтические Предприятия Лтд.,"Динамико Лонг; таблетки, покрытые пленочной оболочкой; 20 мг; N8; производитель: Тева Фармацевтические Предприятия Лтд.",Динамико Лонг; таблетки; 20 мг; N8; Тева Фармацевтические Предприятия Лтд.,Динамико Лонг таблетки 20 мг N8,Тева Фармацевтические Предприятия Лтд.,"Динамико Лонг таблетки 20 мг N8, Тева Фармацевтические Предприятия Лтд.",180,31,31,71,,unknown,,N8,N8,N8,parsed,,Динамико Лонг,Динамико Лонг,таблетки,таблетки,20 мг,20 мг,Тева Фармацевтические Предприятия Лтд.,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
249,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,ОСТЕОМЕД; таблетки; N60; производитель: Парафарм ООО,Остеомед; таблетки; [missing_strength]; N60; Парафарм ООО,Остеомед таблетки N60,Парафарм ООО,Остеомед; таблетки; N60; производитель: Парафарм ООО,Остеомед; таблетки; N60; Парафарм ООО,Остеомед таблетки N60,Парафарм ООО,"Остеомед таблетки N60, Парафарм ООО",62,21,21,35,,unknown,,N60,N60,N60,parsed,,Остеомед,Остеомед,таблетки,таблетки,,,Парафарм ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
354,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО","ЭХИНАЦЕИ ПУРПУРНОЙ; трава, фильтр-пакеты; 1.5 г; N20; производитель: ИВАН-ЧАЙ ЗАО",Эхинацеи Пурпурной; фильтр-пакеты; 1.5 г; N20; ИВАН-ЧАЙ ЗАО,Эхинацеи Пурпурной фильтр-пакеты 1.5 г N20,ИВАН-ЧАЙ ЗАО,"Эхинацеи Пурпурной; трава, фильтр-пакеты; 1.5 г; 1.5 г, N20; производитель: ИВАН-ЧАЙ ЗАО","Эхинацеи Пурпурной; фильтр-пакеты; 1.5 г; 1.5 г, N20; ИВАН-ЧАЙ ЗАО",Эхинацеи Пурпурной фильтр-пакеты 1.5 г N20,ИВАН-ЧАЙ ЗАО,"Эхинацеи Пурпурной фильтр-пакеты 1.5 г N20, ИВАН-ЧАЙ ЗАО",76,42,42,56,,unknown,1.5 г,N20,"1,5Г Ф/П №20","1.5 г, N20",parsed,,Эхинацеи Пурпурной,Эхинацеи Пурпурной,фильтр-пакеты,фильтр-пакеты,1.5 г,1.5 г,ИВАН-ЧАЙ ЗАО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
456,"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО","ЭТОРИАКС; таблетки, покрытые пленочной оболочкой; 60 мг; N14; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Эториакс; таблетки; 60 мг; N14; КРКА, Д.Д., НОВО МЕСТО АО",Эториакс таблетки 60 мг N14,"КРКА, Д.Д., НОВО МЕСТО АО","Эториакс; таблетки, покрытые пленочной оболочкой; 60 мг; N14; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Эториакс; таблетки; 60 мг; N14; КРКА, Д.Д., НОВО МЕСТО АО",Эториакс таблетки 60 мг N14,"КРКА, Д.Д., НОВО МЕСТО АО","Эториакс таблетки 60 мг N14, КРКА, Д.Д., НОВО МЕСТО АО",90,27,27,54,,unknown,,N14,№14,N14,parsed,,Эториакс,Эториакс,таблетки,таблетки,60 мг,60 мг,"КРКА, Д.Д., НОВО МЕСТО АО",,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,"ЭСЦИТАЛОПРАМ КАНОН; таблетки, покрытые пленочной оболочкой; 20 мг; N28; производитель: КАНОНФАРМА ПРОДАКШН ЗАО",Эсциталопрам Канон; таблетки; 20 мг; N28; КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам Канон таблетки 20 мг N28,КАНОНФАРМА ПРОДАКШН ЗАО,"Эсциталопрам Канон; таблетки, покрытые пленочной оболочкой; 20 мг; N28; производитель: КАНОНФАРМА ПРОДАКШН ЗАО",Эсциталопрам Канон; таблетки; 20 мг; N28; КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам Канон таблетки 20 мг N28,КАНОНФАРМА ПРОДАКШН ЗАО,"Эсциталопрам Канон таблетки 20 мг N28, КАНОНФАРМА ПРОДАКШН ЗАО",96,37,37,62,,unknown,,N28,№28,N28,parsed,,Эсциталопрам Канон,Эсциталопрам Канон,таблетки,таблетки,20 мг,20 мг,КАНОНФАРМА ПРОДАКШН ЗАО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
777,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,ЭНАЛАПРИЛ АЛЬФАКТИВ; таблетки; 20 мг; N20; производитель: ОЗОН ФАРМ ООО,Эналаприл Альфактив; таблетки; 20 мг; N20; ОЗОН ФАРМ ООО,Эналаприл Альфактив таблетки 20 мг N20,ОЗОН ФАРМ ООО,Эналаприл Альфактив; таблетки; 20 мг; N20; производитель: ОЗОН ФАРМ ООО,Эналаприл Альфактив; таблетки; 20 мг; N20; ОЗОН ФАРМ ООО,Эналаприл Альфактив таблетки 20 мг N20,ОЗОН ФАРМ ООО,"Эналаприл Альфактив таблетки 20 мг N20, ОЗОН ФАРМ ООО",66,38,38,53,,unknown,,N20,№20,N20,parsed,,Эналаприл Альфактив,Эналаприл Альфактив,таблетки,таблетки,20 мг,20 мг,ОЗОН ФАРМ ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
844,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,"ЭЛЬКАР; раствор, для приема внутрь; 300 мг/мл; 25 мл; производитель: ПИК-ФАРМА ЛЕК",Элькар; раствор; 300 мг/мл; 25 мл; ПИК-ФАРМА ЛЕК,Элькар раствор 300 мг/мл 25 мл,ПИК-ФАРМА ЛЕК,"Элькар; раствор, для приема внутрь; 300 мг/мл; флакон 25 мл, N1; производитель: ПИК-ФАРМА ЛЕК","Элькар; раствор; 300 мг/мл; флакон 25 мл, N1; ПИК-ФАРМА ЛЕК",Элькар раствор 300 мг/мл флакон 25 мл N1,ПИК-ФАРМА ЛЕК,"Элькар раствор 300 мг/мл флакон 25 мл N1, ПИК-ФАРМА ЛЕК",82,30,40,55,ФЛ.,флакон,25 мл,N1,ФЛ. 25МЛ,"флакон 25 мл, N1",parsed,implicit_single_unit_count,Элькар,Элькар,раствор,раствор,300 мг/мл,300 мг/мл,ПИК-ФАРМА ЛЕК,implicit_single_unit_count|query_gained_container|query_gained_pack_count,implicit_single_unit_count,,uncertain,uncertain,"severity=policy_needed; reason=container_not_structured; source_pack=""фл. 2.5 мл""; actual_pack=""2.5 мл""; expected=""фл. 2.5 мл; count=1""; action=""add_container_and_unit_content_fields""",resolved,Structured флакон + 25 мл (source ФЛ. 25МЛ). Reviewer note 2.5 мл was a copy-paste error vs source.,true,false,true,true,false,false,false,false
884,"ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ №56 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО","ЭЛИЦЕЯ КУ-ТАБ; таблетки, диспергируемые в полости рта; 10 мг; N56; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Элицея Ку-Таб; таблетки; 10 мг; N56; КРКА, Д.Д., НОВО МЕСТО АО",Элицея Ку-Таб таблетки 10 мг N56,"КРКА, Д.Д., НОВО МЕСТО АО","Элицея Ку-Таб; таблетки, диспергируемые в полости рта; 10 мг; N56; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Элицея Ку-Таб; таблетки; 10 мг; N56; КРКА, Д.Д., НОВО МЕСТО АО",Элицея Ку-Таб таблетки 10 мг N56,"КРКА, Д.Д., НОВО МЕСТО АО","Элицея Ку-Таб таблетки 10 мг N56, КРКА, Д.Д., НОВО МЕСТО АО",107,32,32,59,,unknown,,N56,№56,N56,parsed,,Элицея Ку-Таб,Элицея Ку-Таб,таблетки,таблетки,10 мг,10 мг,"КРКА, Д.Д., НОВО МЕСТО АО",,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
