product_id,normalized_text,normalized_text_full_v4,product_identity_text_v4,enrichment_query_text_v4,source_char_count,full_v4_char_count,identity_v4_char_count,query_v4_char_count,has_manufacturer_dup_before,manufacturer_dedup_count_v4,has_pack_dup_before,pack_dedup_count_v4,brand_or_product_name_v4,dosage_form_v4,strength_v4,pack_v4,manufacturer_v4,normalization_flags_v4,normalization_warnings_v4,safety_flags_v4
4684,ТОЛПЕРИЗОН ТАБЛ. П/ПЛЕН/ОБ. 150МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,"ТОЛПЕРИЗОН; таблетки, покрытые пленочной оболочкой; 150 мг; N30; производитель: ОЗОН ООО",Толперизон; таблетки; 150 мг; N30; ОЗОН ООО,Толперизон таблетки 150 мг N30,64,88,43,30,true,2,false,0,Толперизон,таблетки,150 мг,N30,ОЗОН ООО,manufacturer_deduped,,
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,"ТЕРМИКОН; спрей, для наружного применения; 1%; 30 г; производитель: ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО",Термикон; спрей; 1%; 30 г; ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Термикон спрей 1% 30 г,102,96,55,22,true,1,false,0,Термикон,спрей,1%,30 г,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,manufacturer_deduped,,
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,"ТЕРМИКОН; крем, для наружного применения; 1%; 15 г; производитель: ЛЕККО ЗАО",Термикон; крем; 1%; 15 г; ЛЕККО ЗАО,Термикон крем 1% 15 г,64,76,35,21,true,1,false,0,Термикон,крем,1%,15 г,ЛЕККО ЗАО,manufacturer_deduped,,
5010,ТЕРАФЛЕКС КАПС. 500МГ+400МГ №200 МАКИЗ-ФАРМА | МАКИЗ-ФАРМА | МАКИЗ-ФАРМА,ТЕРАФЛЕКС; капсулы; 500 мг + 400 мг; N200; производитель: МАКИЗ-ФАРМА,Терафлекс; капсулы; 500 мг + 400 мг; N200; МАКИЗ-ФАРМА,Терафлекс капсулы 500 мг + 400 мг N200,72,69,54,38,true,2,false,0,Терафлекс,капсулы,500 мг + 400 мг,N200,МАКИЗ-ФАРМА,multi_component_strength|manufacturer_deduped,,
5258,"ТАМСУЛОЗИН КАНОН КАПС. КИШ/РАСТ. ПРОЛОНГ. ВЫСВ. 0,4МГ №30 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО","ТАМСУЛОЗИН КАНОН; капсулы, кишечнорастворимые, с пролонгированным высвобождением; 0.4 мг; N30; производитель: КАНОНФАРМА ПРОДАКШН ЗАО",Тамсулозин Канон; капсулы; 0.4 мг; N30; КАНОНФАРМА ПРОДАКШН ЗАО,Тамсулозин Канон капсулы 0.4 мг N30,109,133,63,35,true,1,false,0,Тамсулозин Канон,капсулы,0.4 мг,N30,КАНОНФАРМА ПРОДАКШН ЗАО,manufacturer_deduped,,
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,ТАМОКСИФЕН; таблетки; 20 мг; N30; производитель: ОЗОН ООО,Тамоксифен; таблетки; 20 мг; N30; ОЗОН ООО,Тамоксифен таблетки 20 мг N30,52,57,42,29,true,2,false,0,Тамоксифен,таблетки,20 мг,N30,ОЗОН ООО,manufacturer_deduped,,
5270,ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,ТАМИФЛЮ; капсулы; 75 мг; N10; производитель: ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Тамифлю; капсулы; 75 мг; N10; ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,Тамифлю капсулы 75 мг N10,144,103,88,25,true,1,false,0,Тамифлю,капсулы,75 мг,N10,ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,manufacturer_deduped|manufacturer_multi_entity,slash-separated manufacturer/MAH entities retained as one string,
5322,"ТАВОЛГА ВЯЗОЛИСТНАЯ (ЛАБАЗНИК) ТРАВА Ф/П 1,5Г №20 ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО","ТАВОЛГА ВЯЗОЛИСТНАЯ (ЛАБАЗНИК); трава, фильтр-пакеты; 1.5 г; N20; производитель: ХЕРБЕС ООО",Таволга Вязолистная (лабазник); фильтр-пакеты; 1.5 г; N20; ХЕРБЕС ООО,Таволга Вязолистная (лабазник) фильтр-пакеты 1.5 г N20,82,91,69,54,true,2,false,0,Таволга Вязолистная (лабазник),фильтр-пакеты,1.5 г,N20,ХЕРБЕС ООО,manufacturer_deduped,,
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,"САНОВАСК; таблетки, кишечнорастворитые, покрытые пленочной оболочкой; 50 мг; N30; производитель: ИРБИТСКИЙ ХИМЗАВОД ОАО",Сановаск; таблетки; 50 мг; N30; ИРБИТСКИЙ ХИМЗАВОД ОАО,Сановаск таблетки 50 мг N30,93,119,54,27,true,1,false,0,Сановаск,таблетки,50 мг,N30,ИРБИТСКИЙ ХИМЗАВОД ОАО,manufacturer_deduped,,
7625,РОСИНСУЛИН С МЕДСИНТЕЗ СУСП. ДЛЯ П/К ВВЕД. 100МЕ/МЛ КАРТРИДЖ 3МЛ №5 | ЗАВОД МЕДСИНТЕЗ ООО | ЗАВОД МЕДСИНТЕЗ ООО,РОСИНСУЛИН С МЕДСИНТЕЗ; суспензия; 100 МЕ/мл; 3 мл; N5; производитель: ЗАВОД МЕДСИНТЕЗ ООО,Росинсулин С Медсинтез; суспензия; 100 МЕ/мл; N5; ЗАВОД МЕДСИНТЕЗ ООО,Росинсулин С Медсинтез суспензия 100 МЕ/мл N5,111,90,69,45,true,1,false,0,Росинсулин С Медсинтез,суспензия,100 МЕ/мл,N5,ЗАВОД МЕДСИНТЕЗ ООО,manufacturer_deduped,,
7803,РОЗУВАСТАТИН-ТАД ТАБЛ. П/ПЛЕН/ОБ. 20МГ №30 | Крка-Рус ООО | Крка-Рус ООО,"РОЗУВАСТАТИН-ТАД; таблетки, покрытые пленочной оболочкой; 20 мг; N30; производитель: Крка-Рус ООО",Розувастатин-ТАД; таблетки; 20 мг; N30; Крка-Рус ООО,Розувастатин-ТАД таблетки 20 мг N30,72,97,52,35,true,1,false,0,Розувастатин-ТАД,таблетки,20 мг,N30,Крка-Рус ООО,manufacturer_deduped,,
7816,РОЗУВАСТАТИН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №90 ОЗОН | ОЗОН ООО | ОЗОН ООО,"РОЗУВАСТАТИН; таблетки, покрытые пленочной оболочкой; 20 мг; N90; производитель: ОЗОН ООО",Розувастатин; таблетки; 20 мг; N90; ОЗОН ООО,Розувастатин таблетки 20 мг N90,65,89,44,31,true,2,false,0,Розувастатин,таблетки,20 мг,N90,ОЗОН ООО,manufacturer_deduped,,
7858,РОЗУВАСТАТИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"РОЗУВАСТАТИН РЕНЕВАЛ; таблетки, покрытые пленочной оболочкой; 10 мг; N30; производитель: ОБНОВЛЕНИЕ ПФК АО",Розувастатин Реневал; таблетки; 10 мг; N30; ОБНОВЛЕНИЕ ПФК АО,Розувастатин Реневал таблетки 10 мг N30,86,106,61,39,true,1,false,0,Розувастатин Реневал,таблетки,10 мг,N30,ОБНОВЛЕНИЕ ПФК АО,manufacturer_deduped,,
8055,РИМАСОПТ ВМ КАПЛИ ГЛАЗНЫЕ 2МГ/МЛ+5МГ/МЛ ФЛ. 5МЛ №1 | Уорлд медицин илач сан. ве тидж. Аш | Уорлд медицин илач сан. ве тидж. Аш,"РИМАСОПТ ВМ; капли, глазные; 2 мг/мл + 5 мг/мл; 5 мл; N1; производитель: Уорлд медицин илач сан. ве тидж. Аш",Римасопт ВМ; капли; 2 мг/мл + 5 мг/мл; N1; Уорлд медицин илач сан. ве тидж. Аш,Римасопт ВМ капли 2 мг/мл + 5 мг/мл N1,126,108,78,38,true,1,false,0,Римасопт ВМ,капли,2 мг/мл + 5 мг/мл,N1,Уорлд медицин илач сан. ве тидж. Аш,multi_component_strength|manufacturer_deduped,,
8201,РЕПЕШОК ОБЫКНОВЕННЫЙ ТРАВА 50Г ЭВАЛАР | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,РЕПЕШОК ОБЫКНОВЕННЫЙ; трава; 50 г; производитель: ЭВАЛАР ЗАО,Репешок Обыкновенный; трава; [missing_strength]; 50 г; ЭВАЛАР ЗАО,Репешок Обыкновенный трава 50 г,63,60,65,31,true,2,false,0,Репешок Обыкновенный,трава,,50 г,ЭВАЛАР ЗАО,missing_strength|manufacturer_deduped,no strength token extracted,
8753,ПРОСТАНОРМ ЭКСТРАКТ Д/ПРИЕМА ВНУТРЬ ЖИДК. ФЛ. 100МЛ | ФАРМВИЛАР НПО ООО | ФАРМВИЛАР НПО ООО,"ПРОСТАНОРМ; экстракт жидкий, для приема внутрь; 100 мл; производитель: ФАРМВИЛАР НПО ООО",Простанорм; раствор; [missing_strength]; 100 мл; ФАРМВИЛАР НПО ООО,Простанорм раствор 100 мл,91,88,66,25,true,1,false,0,Простанорм,раствор,,100 мл,ФАРМВИЛАР НПО ООО,missing_strength|manufacturer_deduped,no strength token extracted,
9197,ПОМОГУША СИРОП ДЕТСКИЙ ДЛЯ ДЕТЕЙ С 3-Х ЛЕТ ПРОТИВОПРОСТУДНЫЙ 100МЛ | ЮГ ООО | ЮГ ООО,ПОМОГУША; сироп; 100 мл; ДЕТСКИЙ ДЛЯ ДЕТЕЙ С 3-Х ЛЕТ ПРОТИВОПРОСТУДНЫЙ; производитель: ЮГ ООО,Помогуша; сироп; [missing_strength]; 100 мл; ЮГ ООО,Помогуша сироп 100 мл,84,93,51,21,true,1,false,0,Помогуша,сироп,,100 мл,ЮГ ООО,missing_strength|manufacturer_deduped,no strength token extracted,
9301,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,ПОЛЫНИ ГОРЬКОЙ; трава; 50 г; производитель: ФИТОФАРМ ООО,Полыни Горькой; трава; [missing_strength]; 50 г; ФИТОФАРМ ООО,Полыни Горькой трава 50 г,63,56,61,25,true,2,false,0,Полыни Горькой,трава,,50 г,ФИТОФАРМ ООО,missing_strength|manufacturer_deduped,no strength token extracted,
9511,ПИОНА НАСТОЙКА РЕНЕВАЛ ФЛ. 25МЛ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,ПИОНА РЕНЕВАЛ; настойка; 25 мл; производитель: ОБНОВЛЕНИЕ ПФК АО,Пиона Реневал; настойка; [missing_strength]; 25 мл; ОБНОВЛЕНИЕ ПФК АО,Пиона Реневал настойка 25 мл,71,64,69,28,true,1,false,0,Пиона Реневал,настойка,,25 мл,ОБНОВЛЕНИЕ ПФК АО,missing_strength|manufacturer_deduped,no strength token extracted,
9941,ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА 250МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,ПАРОДОНТОЦИД; ополаскиватель; 250 мл; ДЛЯ ПОЛОСТИ РТА; производитель: МОСКОВСКАЯ ФФ,Пародонтоцид; [missing_form]; [missing_strength]; 250 мл; МОСКОВСКАЯ ФФ,Пародонтоцид ОПОЛАСКИВАТЕЛЬ 250 мл,81,83,71,34,true,1,false,0,Пародонтоцид,unknown,,250 мл,МОСКОВСКАЯ ФФ,missing_form|missing_strength|manufacturer_deduped,dosage form not in canonical vocabulary or not found; no strength token extracted,
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН; таблетки; 40 мг; N10; производитель: ИРБИТСКИЙ ХИМЗАВОД ОАО,Папаверин; таблетки; 40 мг; N10; ИРБИТСКИЙ ХИМЗАВОД ОАО,Папаверин таблетки 40 мг N10,88,70,55,28,true,2,false,0,Папаверин,таблетки,40 мг,N10,ИРБИТСКИЙ ХИМЗАВОД ОАО,manufacturer_deduped,,
10536,ОМЕПРАЗОЛ-ОBL КАПС. КИШ/РАСТ. 20МГ №28 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,"ОМЕПРАЗОЛ-ОBL; капсулы, кишечнорастворимые; 20 мг; N28; производитель: ОБОЛЕНСКОЕ ФП АО",Омепразол-ОBL; капсулы; 20 мг; N28; ОБОЛЕНСКОЕ ФП АО,Омепразол-ОBL капсулы 20 мг N28,76,87,52,31,true,1,false,0,Омепразол-ОBL,капсулы,20 мг,N28,ОБОЛЕНСКОЕ ФП АО,manufacturer_deduped,,
11142,НУРОФАСТ ТАБЛ. П/ПЛЕН/ОБ. 200МГ №20 | АЛИУМ АО | АЛИУМ АО,"НУРОФАСТ; таблетки, покрытые пленочной оболочкой; 200 мг; N20; производитель: АЛИУМ АО",Нурофаст; таблетки; 200 мг; N20; АЛИУМ АО,Нурофаст таблетки 200 мг N20,57,86,41,28,true,1,false,0,Нурофаст,таблетки,200 мг,N20,АЛИУМ АО,manufacturer_deduped,,
11272,НООТРОП КАПС. №48 | ВИС ООО | ВИС ООО,НООТРОП; капсулы; N48; производитель: ВИС ООО,Ноотроп; капсулы; [missing_strength]; N48; ВИС ООО,Ноотроп капсулы N48,37,45,50,19,true,1,false,0,Ноотроп,капсулы,,N48,ВИС ООО,missing_strength|manufacturer_deduped,no strength token extracted,
12389,"МЯТЫ ПЕРЕЧНОЙ ЛИСТЬЯ Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",МЯТЫ ПЕРЕЧНОЙ ЛИСТЬЯ; фильтр-пакеты; 1.5 г; N20; производитель: ЗДОРОВЬЕ ФИРМА ООО,Мяты Перечной Листья; фильтр-пакеты; 1.5 г; N20; ЗДОРОВЬЕ ФИРМА ООО,Мяты Перечной Листья фильтр-пакеты 1.5 г N20,84,82,67,44,true,2,false,0,Мяты Перечной Листья,фильтр-пакеты,1.5 г,N20,ЗДОРОВЬЕ ФИРМА ООО,manufacturer_deduped,,
12495,МУКОСАТ МАЗЬ Д/НАРУЖ. ПРИМ. 5% ТУБА 30Г | ЗЕЛЕНАЯ ДУБРАВА ЗАО | ЗЕЛЕНАЯ ДУБРАВА ЗАО,"МУКОСАТ; мазь, для наружного применения; 5%; 30 г; производитель: ЗЕЛЕНАЯ ДУБРАВА ЗАО",Мукосат; мазь; 5%; 30 г; ЗЕЛЕНАЯ ДУБРАВА ЗАО,Мукосат мазь 5% 30 г,83,85,44,20,true,1,false,0,Мукосат,мазь,5%,30 г,ЗЕЛЕНАЯ ДУБРАВА ЗАО,manufacturer_deduped,,
13125,МИКРОГИНОН ТАБЛ. П/О 150МКГ+30МКГ №21 | ДЕЛЬФАРМ ЛИЛЛЬ С.А.С | ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,"МИКРОГИНОН; таблетки, покрытые оболочкой; 150 мкг + 30 мкг; N21; производитель: ДЕЛЬФАРМ ЛИЛЛЬ С.А.С",Микрогинон; таблетки; 150 мкг + 30 мкг; N21; ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,Микрогинон таблетки 150 мкг + 30 мкг N21,83,100,65,40,true,1,false,0,Микрогинон,таблетки,150 мкг + 30 мкг,N21,ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,multi_component_strength|manufacturer_deduped,,
13616,"МЕЛИССЫ ЛЕКАРСТВЕННОЙ ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО","МЕЛИССЫ ЛЕКАРСТВЕННОЙ; трава, фильтр-пакеты; 1.5 г; N20; производитель: ЗДОРОВЬЕ ФИРМА ООО",Мелиссы Лекарственной; фильтр-пакеты; 1.5 г; N20; ЗДОРОВЬЕ ФИРМА ООО,Мелиссы Лекарственной фильтр-пакеты 1.5 г N20,91,90,68,45,true,2,false,0,Мелиссы Лекарственной,фильтр-пакеты,1.5 г,N20,ЗДОРОВЬЕ ФИРМА ООО,manufacturer_deduped,,
14758,"ЛОЗАРТАН Н ТАБЛ. П/ПЛЕН/ОБ. 12,5МГ+100МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО","ЛОЗАРТАН Н; таблетки, покрытые пленочной оболочкой; 12.5 мг + 100 мг; N30; производитель: ОЗОН ООО",Лозартан Н; таблетки; 12.5 мг + 100 мг; N30; ОЗОН ООО,Лозартан Н таблетки 12.5 мг + 100 мг N30,71,98,53,40,true,2,false,0,Лозартан Н,таблетки,12.5 мг + 100 мг,N30,ОЗОН ООО,multi_component_strength|manufacturer_deduped,,
15062,ЛИЗИНОПРИЛ-ТЕВА ТАБЛ. 10МГ №30 Р-ФАРМ | Р-ФАРМ НОВОСЕЛКИ ООО | Р-ФАРМ НОВОСЕЛКИ ООО,ЛИЗИНОПРИЛ-ТЕВА; таблетки; 10 мг; N30; производитель: Р-ФАРМ НОВОСЕЛКИ ООО,Лизиноприл-Тева; таблетки; 10 мг; N30; Р-ФАРМ НОВОСЕЛКИ ООО,Лизиноприл-Тева таблетки 10 мг N30,83,74,59,34,true,2,false,0,Лизиноприл-Тева,таблетки,10 мг,N30,Р-ФАРМ НОВОСЕЛКИ ООО,manufacturer_deduped,,
15150,ЛИДОКАИН БУФУС Р-Р Д/ИН. 100МГ/МЛ АМП. 2МЛ №10 ОБНОВЛЕНИЕ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"ЛИДОКАИН БУФУС; раствор, для инъекций; 100 мг/мл; 2 мл; N10; производитель: ОБНОВЛЕНИЕ ПФК АО",Лидокаин Буфус; раствор; 100 мг/мл; N10; ОБНОВЛЕНИЕ ПФК АО,Лидокаин Буфус раствор 100 мг/мл N10,97,93,58,36,true,2,false,0,Лидокаин Буфус,раствор,100 мг/мл,N10,ОБНОВЛЕНИЕ ПФК АО,manufacturer_deduped,,
16485,КРУШИНЫ КОРА Ф/П 2Г №20 ФИТО-БОТ | ФИТО-БОТ ФИРМА ООО | ФИТО-БОТ ФИРМА ООО,КРУШИНЫ КОРА; фильтр-пакеты; 2 г; N20; производитель: ФИТО-БОТ ФИРМА ООО,Крушины Кора; фильтр-пакеты; 2 г; N20; ФИТО-БОТ ФИРМА ООО,Крушины Кора фильтр-пакеты 2 г N20,74,72,57,34,true,2,false,0,Крушины Кора,фильтр-пакеты,2 г,N20,ФИТО-БОТ ФИРМА ООО,manufacturer_deduped,,
16623,КОФЕИН-БЕНЗОАТ НАТРИЯ ТАБЛ. 100МГ №10 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,КОФЕИН-БЕНЗОАТ НАТРИЯ; таблетки; 100 мг; N10; производитель: ТАТХИМФАРМПРЕПАРАТЫ АО,Кофеин-Бензоат Натрия; таблетки; 100 мг; N10; ТАТХИМФАРМПРЕПАРАТЫ АО,Кофеин-Бензоат Натрия таблетки 100 мг N10,107,83,68,41,true,2,false,0,Кофеин-Бензоат Натрия,таблетки,100 мг,N10,ТАТХИМФАРМПРЕПАРАТЫ АО,manufacturer_deduped,,
18125,КАНДЕСАРТАН ТАБЛ. 16МГ №28 БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ,КАНДЕСАРТАН; таблетки; 16 мг; N28; производитель: БЕРЕЗОВСКИЙ ФЗ,Кандесартан; таблетки; 16 мг; N28; БЕРЕЗОВСКИЙ ФЗ,Кандесартан таблетки 16 мг N28,75,64,49,30,true,2,false,0,Кандесартан,таблетки,16 мг,N28,БЕРЕЗОВСКИЙ ФЗ,manufacturer_deduped,,
18179,КАЛЬЦИЯ ГЛЮКОНАТ ЭКО ТАБЛ. ПО 500МГ №10 | ЭКОТЕКС ООО | ЭКОТЕКС ООО,КАЛЬЦИЯ ГЛЮКОНАТ ЭКО; таблетки; 500 мг; N10; производитель: ЭКОТЕКС ООО,Кальция Глюконат ЭКО; таблетки; 500 мг; N10; ЭКОТЕКС ООО,Кальция Глюконат ЭКО таблетки 500 мг N10,67,71,56,40,true,1,false,0,Кальция Глюконат ЭКО,таблетки,500 мг,N10,ЭКОТЕКС ООО,manufacturer_deduped,,
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,"ЙОД; раствор, для наружного применения, спиртовой; 5%; 25 мл; производитель: ГИППОКРАТ",Йод; раствор; 5%; 25 мл; ГИППОКРАТ,Йод раствор 5% 25 мл,75,86,34,20,true,2,false,0,Йод,раствор,5%,25 мл,ГИППОКРАТ,manufacturer_deduped,,
18830,ИЗЖОГАНЕТ АНТАЦИДНЫЙ КОМПЛЕКС СО ВКУСОМ МЯТЫ ТАБЛ. 600МГ №40 | ГРИН САЙД ООО | ГРИН САЙД ООО,ИЗЖОГАНЕТ АНТАЦИДНЫЙ КОМПЛЕКС СО ВКУСОМ МЯТЫ; таблетки; 600 мг; N40; производитель: ГРИН САЙД ООО,Изжоганет Антацидный Комплекс Со Вкусом Мяты; таблетки; 600 мг; N40; ГРИН САЙД ООО,Изжоганет Антацидный Комплекс Со Вкусом Мяты таблетки 600 мг N40,92,97,82,64,true,1,false,0,Изжоганет Антацидный Комплекс Со Вкусом Мяты,таблетки,600 мг,N40,ГРИН САЙД ООО,manufacturer_deduped,,
19198,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,ЗВЕРОБОЯ; трава; 50 г; производитель: ФИТОФАРМ ООО,Зверобоя; трава; [missing_strength]; 50 г; ФИТОФАРМ ООО,Зверобоя трава 50 г,57,50,55,19,true,2,false,0,Зверобоя,трава,,50 г,ФИТОФАРМ ООО,missing_strength|manufacturer_deduped,no strength token extracted,
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,"ДЮСПАТАЛИН; таблетки, покрытые оболочкой; 135 мг; N15; производитель: ВЕРОФАРМ АО",Дюспаталин; таблетки; 135 мг; N15; ВЕРОФАРМ АО,Дюспаталин таблетки 135 мг N15,67,81,46,30,true,2,false,0,Дюспаталин,таблетки,135 мг,N15,ВЕРОФАРМ АО,manufacturer_deduped,,
20122,ДИОСМИН ТАБЛ. П/ПЛЕН/ОБ. 600МГ №60 ОЗОН | ОЗОН ООО | ОЗОН ООО,"ДИОСМИН; таблетки, покрытые пленочной оболочкой; 600 мг; N60; производитель: ОЗОН ООО",Диосмин; таблетки; 600 мг; N60; ОЗОН ООО,Диосмин таблетки 600 мг N60,61,85,40,27,true,2,false,0,Диосмин,таблетки,600 мг,N60,ОЗОН ООО,manufacturer_deduped,,
20614,"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО","ДЕКСАМЕТАЗОН-КРКА; таблетки; 4 мг; N20; производитель: КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО","Дексаметазон-Крка; таблетки; 4 мг; N20; КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон-Крка таблетки 4 мг N20,111,92,77,35,true,1,false,0,Дексаметазон-Крка,таблетки,4 мг,N20,"КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",manufacturer_deduped|manufacturer_multi_entity,slash-separated manufacturer/MAH entities retained as one string,
20628,ДЕКСА-ГЕНТАМИЦИН КАПЛИ ГЛАЗН. ФЛ-КАП. 5МЛ | УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ | УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ,"ДЕКСА-ГЕНТАМИЦИН; капли, глазные; 5 мл; производитель: УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ",Декса-Гентамицин; капли; [missing_strength]; 5 мл; УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ,Декса-Гентамицин капли 5 мл,101,82,78,27,true,1,false,0,Декса-Гентамицин,капли,,5 мл,УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ,missing_strength|manufacturer_deduped,no strength token extracted,
21010,ГЛИЦИН ФОРТЕ ТАБЛ. ЗАЩЕЧН. И П/ЯЗЫЧН. 250МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,"ГЛИЦИН ФОРТЕ; таблетки, защечные / подъязычные; 250 мг; N20; производитель: ОЗОН ООО",Глицин Форте; таблетки; 250 мг; N20; ОЗОН ООО,Глицин Форте таблетки 250 мг N20,74,84,45,32,true,2,false,0,Глицин Форте,таблетки,250 мг,N20,ОЗОН ООО,manufacturer_deduped,,
21019,ГЛИЦИН ТАБЛ. П/ЯЗЫЧН. 100МГ №50 ОЗОН | ОЗОН ООО | ОЗОН ООО,"ГЛИЦИН; таблетки, защечные / подъязычные; 100 мг; N50; производитель: ОЗОН ООО",Глицин; таблетки; 100 мг; N50; ОЗОН ООО,Глицин таблетки 100 мг N50,58,78,39,26,true,2,false,0,Глицин,таблетки,100 мг,N50,ОЗОН ООО,manufacturer_deduped,,
21137,ГЛИБЕНКЛАМИД ТАБЛ. 5МГ №120 ОЗОН ФАРМ | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,ГЛИБЕНКЛАМИД; таблетки; 5 мг; N120; производитель: ОЗОН ФАРМ ООО,Глибенкламид; таблетки; 5 мг; N120; ОЗОН ФАРМ ООО,Глибенкламид таблетки 5 мг N120,69,64,49,31,true,2,false,0,Глибенкламид,таблетки,5 мг,N120,ОЗОН ФАРМ ООО,manufacturer_deduped,,
