product_id,normalized_text,normalized_text_full_v4,product_identity_text_v4,enrichment_query_text_v4,source_char_count,full_v4_char_count,identity_v4_char_count,query_v4_char_count,has_manufacturer_dup_before,manufacturer_dedup_count_v4,has_pack_dup_before,pack_dedup_count_v4,brand_or_product_name_v4,dosage_form_v4,strength_v4,pack_v4,manufacturer_v4,normalization_flags_v4,normalization_warnings_v4,safety_flags_v4
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,САМБУКУС БУЗИНА ИММУНИТЕТ; таблетки; 700 мг; N30; производитель: Грин Сайд ООО,Самбукус Бузина Иммунитет; таблетки; 700 мг; N30; Грин Сайд ООО,Самбукус Бузина Иммунитет таблетки 700 мг N30,99,78,63,45,true,2,true,1,Самбукус Бузина Иммунитет,таблетки,700 мг,N30,Грин Сайд ООО,pack_deduped|manufacturer_deduped,,
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,"ГЕСПЕРИДИН+ДИОСМИН; таблетки, покрытые пленочной оболочкой; 100 мг + 900 мг; N30; производитель: Алиум АО",Гесперидин+Диосмин; таблетки; 100 мг + 900 мг; N30; Алиум АО,Гесперидин+Диосмин таблетки 100 мг + 900 мг N30,105,105,60,47,true,2,true,1,Гесперидин+Диосмин,таблетки,100 мг + 900 мг,N30,Алиум АО,pack_deduped|multi_component_strength|manufacturer_deduped,,
92,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,"ДИНАМИКО ЛОНГ; таблетки, покрытые пленочной оболочкой; 20 мг; N8; производитель: Тева Фармацевтические Предприятия Лтд.",Динамико Лонг; таблетки; 20 мг; N8; Тева Фармацевтические Предприятия Лтд.,Динамико Лонг таблетки 20 мг N8,180,119,74,31,true,2,true,1,Динамико Лонг,таблетки,20 мг,N8,Тева Фармацевтические Предприятия Лтд.,pack_deduped|manufacturer_deduped,,
249,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,ОСТЕОМЕД; таблетки; N60; производитель: Парафарм ООО,Остеомед; таблетки; [missing_strength]; N60; Парафарм ООО,Остеомед таблетки N60,62,52,57,21,true,2,true,1,Остеомед,таблетки,,N60,Парафарм ООО,pack_deduped|missing_strength|manufacturer_deduped,no strength token extracted,
354,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО","ЭХИНАЦЕИ ПУРПУРНОЙ; трава, фильтр-пакеты; 1.5 г; N20; производитель: ИВАН-ЧАЙ ЗАО",Эхинацеи Пурпурной; фильтр-пакеты; 1.5 г; N20; ИВАН-ЧАЙ ЗАО,Эхинацеи Пурпурной фильтр-пакеты 1.5 г N20,76,81,59,42,true,2,false,0,Эхинацеи Пурпурной,фильтр-пакеты,1.5 г,N20,ИВАН-ЧАЙ ЗАО,manufacturer_deduped,,
456,"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО","ЭТОРИАКС; таблетки, покрытые пленочной оболочкой; 60 мг; N14; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Эториакс; таблетки; 60 мг; N14; КРКА, Д.Д., НОВО МЕСТО АО",Эториакс таблетки 60 мг N14,90,102,57,27,true,1,false,0,Эториакс,таблетки,60 мг,N14,"КРКА, Д.Д., НОВО МЕСТО АО",manufacturer_deduped,,
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,"ЭСЦИТАЛОПРАМ КАНОН; таблетки, покрытые пленочной оболочкой; 20 мг; N28; производитель: КАНОНФАРМА ПРОДАКШН ЗАО",Эсциталопрам Канон; таблетки; 20 мг; N28; КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам Канон таблетки 20 мг N28,96,110,65,37,true,1,false,0,Эсциталопрам Канон,таблетки,20 мг,N28,КАНОНФАРМА ПРОДАКШН ЗАО,manufacturer_deduped,,
777,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,ЭНАЛАПРИЛ АЛЬФАКТИВ; таблетки; 20 мг; N20; производитель: ОЗОН ФАРМ ООО,Эналаприл Альфактив; таблетки; 20 мг; N20; ОЗОН ФАРМ ООО,Эналаприл Альфактив таблетки 20 мг N20,66,71,56,38,true,1,false,0,Эналаприл Альфактив,таблетки,20 мг,N20,ОЗОН ФАРМ ООО,manufacturer_deduped,,
844,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,"ЭЛЬКАР; раствор, для приема внутрь; 300 мг/мл; 25 мл; производитель: ПИК-ФАРМА ЛЕК",Элькар; раствор; 300 мг/мл; 25 мл; ПИК-ФАРМА ЛЕК,Элькар раствор 300 мг/мл 25 мл,82,82,48,30,true,1,false,0,Элькар,раствор,300 мг/мл,25 мл,ПИК-ФАРМА ЛЕК,manufacturer_deduped,,
884,"ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ №56 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО","ЭЛИЦЕЯ КУ-ТАБ; таблетки, диспергируемые в полости рта; 10 мг; N56; производитель: КРКА, Д.Д., НОВО МЕСТО АО","Элицея Ку-Таб; таблетки; 10 мг; N56; КРКА, Д.Д., НОВО МЕСТО АО",Элицея Ку-Таб таблетки 10 мг N56,107,107,62,32,true,1,false,0,Элицея Ку-Таб,таблетки,10 мг,N56,"КРКА, Д.Д., НОВО МЕСТО АО",manufacturer_deduped,,
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ","ЭКЗОРОЛФИНЛАК; лак, для ногтей; 5%; 2.5 мл; производитель: ПАУЛЬ В. БЕЙФЕРС ГМБХ",Экзоролфинлак; лак; 5%; 2.5 мл; ПАУЛЬ В. БЕЙФЕРС ГМБХ,Экзоролфинлак лак 5% 2.5 мл,87,80,53,27,true,1,false,0,Экзоролфинлак,лак,5%,2.5 мл,ПАУЛЬ В. БЕЙФЕРС ГМБХ,manufacturer_deduped,,
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО","ЧАБРЕЦА; трава, фильтр-пакеты; 1.5 г; N20; производитель: Здоровье фирма ЗАО",Чабреца; фильтр-пакеты; 1.5 г; N20; Здоровье фирма ЗАО,Чабреца фильтр-пакеты 1.5 г N20,77,76,54,31,true,2,false,0,Чабреца,фильтр-пакеты,1.5 г,N20,Здоровье фирма ЗАО,manufacturer_deduped,,
1765,ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ №50 | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О. | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,ЦИПРОТЕРОН-ТЕВА; таблетки; 50 мг; N50; производитель: ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон-Тева; таблетки; 50 мг; N50; ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон-Тева таблетки 50 мг N50,98,85,70,34,true,1,false,0,Ципротерон-Тева,таблетки,50 мг,N50,ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,manufacturer_deduped,,
2023,ЦЕЛЕКОКСИБ-ТЕВА КАПС. 200МГ №30 | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,ЦЕЛЕКОКСИБ-ТЕВА; капсулы; 200 мг; N30; производитель: УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб-Тева; капсулы; 200 мг; N30; УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб-Тева капсулы 200 мг N30,93,82,67,34,true,1,false,0,Целекоксиб-Тева,капсулы,200 мг,N30,УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,manufacturer_deduped,,
2348,ХИЛАК ФОРТЕ КАПЛИ Д/ПРИЕМА ВНУТРЬ ВИШНЯ ФЛ. 100МЛ | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,"ХИЛАК ФОРТЕ; капли, для приема внутрь; 100 мл; ВИШНЯ; производитель: МЕРКЛЕ ГМБХ",Хилак Форте; капли; [missing_strength]; 100 мл; МЕРКЛЕ ГМБХ,Хилак Форте капли 100 мл,77,80,59,24,true,1,false,0,Хилак Форте,капли,,100 мл,МЕРКЛЕ ГМБХ,missing_strength|manufacturer_deduped,no strength token extracted,
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН; таблетки; 20 мг; N20; производитель: ТАТХИМФАРМПРЕПАРАТЫ АО,Фурацилин; таблетки; 20 мг; N20; ТАТХИМФАРМПРЕПАРАТЫ АО,Фурацилин таблетки 20 мг N20,125,70,55,28,true,2,false,0,Фурацилин,таблетки,20 мг,N20,ТАТХИМФАРМПРЕПАРАТЫ АО,manufacturer_deduped,,
