product_id,product_kind,normalized_text,attr_brand,attr_mnn,attr_rx_otc,attr_dosage_form,attr_dosage,query,mnn_catalog_uteka,rx_catalog_uteka,form_catalog_uteka,dose_catalog_uteka,url_uteka,title_uteka,error_uteka,mnn_catalog_eapteka,rx_catalog_eapteka,form_catalog_eapteka,dose_catalog_eapteka,url_eapteka,title_eapteka,error_eapteka,mnn_enriched,rx_otc_enriched,enrichment_source,match_score_best
19,drug,АСКОРУТИН 50мг+50мг N50 таб. Фармцентр вилар АО | Фармцентр Вилар АО | Фармцентр Вилар АО | N50,Аскорутин,,otc,таблетки,50мг+50мг,Аскорутин 50мг+50мг,,,,,https://uteka.ru/product/oftalmoferon-167405/,oftalmoferon 167405,low_match,"Аскорбиновая кислота, Рутозид",otc,таблетки,50 мг,https://www.eapteka.ru/goods/id512292/,Аскорутин таблетки 50 мг+50 мг 50 шт,,"Аскорбиновая кислота, Рутозид",otc,eapteka,0.95
36,vitamin_or_baa,ТАУФОН ТАБС ЛЮТЕИН N120 таб. покрытые пленочной оболочкой Фармстандарт-УфаВИТА ОАО | Фармстандарт-Уфавита ОАО | Фармстандарт-Уфавита ОАО | N120,Тауфон Табс Лютеин,Комплекс,,таблетки,,Тауфон Табс Лютеин,,otc,"таблетки, покрытые оболочкой",,https://uteka.ru/product/taufon-tabs-lyutein-359038/,"Тауфон Табс Лютеин, таблетки, покрытые оболочкой, витамины для глаз + минералы, 30 шт.",,,otc,таблетки,500 мг,https://www.eapteka.ru/goods/id529111/,PILULI Лютеин+зеаксантин таблетки массой 500 мг 30 шт,,,otc,union,1.0
41,drug,"БИФРАДУАЛ 0,25мг/мл + 0,5мг/мл 20мл р-р д/ингаляций ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО",Бифрадуал,,rx,раствор,"0,25 мг/мл + 0,5 мг/мл","Бифрадуал 0,25 мг/мл + 0,5 мг/мл",,,,,https://uteka.ru/product/oftalmoferon-167405/,oftalmoferon 167405,low_match,"Ипратропия бромид, Фенотерол",rx,раствор,"0,25 мг",https://www.eapteka.ru/goods/id524697/,"Бифрадуал раствор для ингаляций 0,25 мг/мл+0,5 мг/мл 20 мл 1 шт",,"Ипратропия бромид, Фенотерол",rx,eapteka,1.0
46,drug,КОЛИСТИН 80мг (1000000 ЕД) N28 порошок д/приготовления р-ра д/ингаляций Кселлия Фармасьютикалс АпС | Кселлия фармасьютикалс АпС | Кселлия фармасьютикалс АпС | N28,,Колистин,rx,порошок,80 мг (1 000 000 ЕД),КОЛИСТИН 80мг (1000000 ЕД) 80 мг (1 000 000 ЕД),,,,,https://uteka.ru/product/triderm-323371/,triderm 323371,low_match,,,,,https://www.eapteka.ru/goods/id514377/,"Med Expert Бинт эластичный компрессионный СР 3,0м х 80мм 1 шт",low_match,,unknown,none,0.1
55,drug,"БИСОМОР 2,5мг N30 таб. покрытые пленочной оболочкой Эдж Фарма Прайвет | Эдж Фарма Прайвет Лимитед | Эдж Фарма Прайвет Лимитед | N30",Бисомор,,рецептурный,таблетки,"2,5 мг","Бисомор 2,5 мг",Бисопролол,rx,"таблетки, покрытые пленочной оболочкой",2.5 мг,https://uteka.ru/product/bisomor-379349/,"Бисомор, 2.5 мг, таблетки, покрытые пленочной оболочкой, 30 шт.",,,unknown,порошок,400 мг,https://www.eapteka.ru/goods/id520597/,"PILULI Аскорбинка Life Ascorbic acid 400 мг порошок пакеты массой 2,5 г 10 шт",,Бисопролол,rx,uteka,1.0
65,vitamin_or_baa,ЭКОКУРМАКС капс. липосомальный комплекс с куркумином N60 Вектор-Медика АО | Вектор-Медика АО | Вектор-Медика АО | N60,ЭКОКУРМАКС,Куркумин,,капсулы,,ЭКОКУРМАКС,,unknown,капсулы,,https://uteka.ru/product/ekokurmaks-370929/,"ЭкокурМАКС, 318 мг, капсулы, 60 шт.",,,,,,,,not_found,,unknown,none,1.0
67,drug,ДИКЛОФАРМ 25мг/мл 3мл N5 р-р для в/м введения ВетПром АД | ВетПром АД | ВетПром АД | N5,Диклофарм,,rx,раствор,25 мг/мл,Диклофарм 25 мг/мл,Диклофенак,rx,раствор для внутримышечного введения,25 мг/мл,https://uteka.ru/product/diklofarm-387461/,"Диклофарм, 25 мг/мл, раствор для внутримышечного введения, 3 мл, 10 шт.",,,otc,капсулы,25 мг,https://www.eapteka.ru/goods/id519197/,"Gold'n Apotheka Zinc 25 mg/Голдн Апотека Цинк 25 мг капсулы массой 0,45 г 60 шт",,Диклофенак,unknown,uteka,1.0
91,drug,ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,Тигацил,,рецептурный,лиофилизат,50 мг,Тигацил 50 мг,Тигециклин,rx,лиофилизат для приготовления раствора для инфузий,50 мг,https://uteka.ru/product/tigacil-227101/,"Тигацил, 50 мг, лиофилизат для приготовления раствора для инфузий, 10 шт.",,Тигециклин,rx,,50 мг,https://www.eapteka.ru/goods/id212380/,Тигацил лиофилизат д/приг раствора для инфузий 50 мг фл 10 шт,,Тигециклин,rx,union,1.0
