product_id,exception_reason_v4_1,normalized_text,enrichment_query_text_v4,enrichment_query_text_v4_1,enrichment_retrieval_text_v4_1,brand_or_product_name_v4,brand_or_product_name_v4_1,pack_v4,pack_structure_v4_1,container_type_v4_1,unit_content_amount_v4_1,pack_unit_count_v4_1,pack_parse_status_v4_1,dosage_form_v4,dosage_form_v4_1,manufacturer_v4_1,product_name_recovery_status_v4_1,m5_0_label_norm_v4_identity_preserved,m5_0_label_norm_v4_query_appropriate,m5_0_label_norm_v4_notes,m5_1_resolution_status,m5_1_resolution_reason,normalization_flags_v4_1,normalization_warnings_v4_1
54,m50_defect_partially_resolved,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,Гепарин раствор 5000 ЕД/мл N5,Гепарин раствор 5000 ЕД/мл 5 мл N5,"Гепарин раствор 5000 ЕД/мл 5 мл N5, Армавирская биологическая фабрика фгуп",Гепарин,Гепарин,N5,"5 мл, N5",unknown,5 мл,N5,parsed,раствор,раствор,Армавирская биологическая фабрика фгуп,not_applicable,no,no,"severity=major; reason=unit_volume_and_container_lost; source_pack=""амп. 5 мл N5""; actual_pack=""N5""; expected=""амп. 5 мл N5""; action=""add_container_and_unit_content_fields""",partially_resolved,"Restored unit volume 5 мл and N5 in query/retrieval; kept 5000 ЕД/мл as strength. Source has no амп./ампула marker, so container stays unknown (not inferred). Reviewer note source_pack=амп. 5 мл N5 does not match actual source.",query_gained_unit_amount,
3763,manufacturer_prefix_in_product_name,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,Фармгрупп настойка 250 мл,5 трав успокоительная настойка флакон 250 мл N1,"5 трав успокоительная настойка флакон 250 мл N1, ФАРМГРУПП ООО",Фармгрупп,5 трав успокоительная,250 мл,"флакон 250 мл, N1",флакон,250 мл,N1,parsed,настойка,настойка,ФАРМГРУПП ООО,recovered,no,uncertain,"severity=critical; reason=brand_role_misattributed_and_product_name_loss; source_head=""ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ""; source_manufacturer=""ФАРМГРУПП ООО""; actual_brand=""Фармгрупп""; expected_brand=""5 трав успокоительная""; lost_tokens=""5 трав|успокоительная""; actual_query=""Фармгрупп настойка 250 мл""; expected_query=""5 трав успокоительная настойка флакон 250 мл""; action=""add_manufacturer_prefix_detection_and_name_recovery_rule""",resolved,Manufacturer prefix stripped from brand; remainder 5 трав успокоительная used. Query keeps remainder+настойка+флакон+250 мл; retrieval adds ФАРМГРУПП ООО. Flagged product_name_variant_needs_policy (no invented 'средство').,implicit_single_unit_count|manufacturer_prefix_in_product_name|product_name_variant_needs_policy|query_gained_container|query_gained_pack_count,implicit_single_unit_count; product_name_variant_needs_policy
8201,pack_parse_status=partial,РЕПЕШОК ОБЫКНОВЕННЫЙ ТРАВА 50Г ЭВАЛАР | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,Репешок Обыкновенный трава 50 г,Репешок Обыкновенный трава 50 г,"Репешок Обыкновенный трава 50 г, ЭВАЛАР ЗАО",Репешок Обыкновенный,Репешок Обыкновенный,50 г,50 г,unknown,50 г,,partial,трава,трава,ЭВАЛАР ЗАО,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,,
9197,pack_parse_status=partial,ПОМОГУША СИРОП ДЕТСКИЙ ДЛЯ ДЕТЕЙ С 3-Х ЛЕТ ПРОТИВОПРОСТУДНЫЙ 100МЛ | ЮГ ООО | ЮГ ООО,Помогуша сироп 100 мл,Помогуша сироп 100 мл,"Помогуша сироп 100 мл, ЮГ ООО",Помогуша,Помогуша,100 мл,100 мл,unknown,100 мл,,partial,сироп,сироп,ЮГ ООО,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,,
9301,pack_parse_status=partial,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Полыни Горькой трава 50 г,Полыни Горькой трава 50 г,"Полыни Горькой трава 50 г, ФИТОФАРМ ООО",Полыни Горькой,Полыни Горькой,50 г,50 г,unknown,50 г,,partial,трава,трава,ФИТОФАРМ ООО,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,,
9941,pack_parse_status=partial,ПАРОДОНТОЦИД ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА 250МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,Пародонтоцид ОПОЛАСКИВАТЕЛЬ 250 мл,Пародонтоцид ополаскиватель 250 мл,"Пародонтоцид ополаскиватель 250 мл, МОСКОВСКАЯ ФФ",Пародонтоцид,Пародонтоцид,250 мл,250 мл,unknown,250 мл,,partial,unknown,ополаскиватель,МОСКОВСКАЯ ФФ,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,form_vocab_mouthwash_kept,ополаскиватель added to canonical vocabulary
19198,pack_parse_status=partial,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Зверобоя трава 50 г,Зверобоя трава 50 г,"Зверобоя трава 50 г, ФИТОФАРМ ООО",Зверобоя,Зверобоя,50 г,50 г,unknown,50 г,,partial,трава,трава,ФИТОФАРМ ООО,not_applicable,,,,not_applicable,M5.0 labels blank; row was not in the reviewed 50-sample (blank is not treated as yes).,,
