product_id,normalized_text,label_age_pilot,label_age_pilot_notes,manual_age_min_years,manual_age_min_years_source,manual_age_population_scope,manual_age_segment_reconciled,manual_age_segment_decision,manual_age_reconciliation_reason,age_reconciliation_warning,label_age_min_years_manual,label_age_population_scope_manual,label_age_segment_manual,label_age_threshold_notes
844,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,universal from label only; no numeric min,,,,
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,universal from label only; no numeric min,,,,
5270,ТАМИФЛЮ КАПС. 75МГ №10 | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С. | ДЕЛФАРМ МИЛАНО С.Р.Л./Ф.ХОФФМАНН-ЛЯ РОШ ЛТД/СЕНЕКСИ С.А.С.,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,universal from label only; no numeric min,,,,
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,universal from label only; no numeric min,,,,
11142,НУРОФАСТ ТАБЛ. П/ПЛЕН/ОБ. 200МГ №20 | АЛИУМ АО | АЛИУМ АО,should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,universal from label only; no numeric min,,,,
20614,"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,universal from label only; no numeric min,,,,
24255,"БЕЛОДЕРМ КРЕМ Д/НАРУЖ. ПРИМ. 0,05% ТУБА 30Г | БЕЛУПО | БЕЛУПО",should_be_universal,Подтверждено применение у детей и взрослых,unknown,label_only_no_threshold,children_and_adults,универсальный,provisional_from_label_only,Reviewer segment direction универсальный accepted from label. No numeric minimum invented.,universal from label only; no numeric min,,,,
