normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc
"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",Циклопирокс,rx,Аморолфин,otc,,,,,Аморолфин,otc,,,Аморолфин,otc
ЭДАС-117 ЛАРИНОЛ КАПЛИ Д/ПРИЕМА ВНУТРЬ ГОМЕОП. ФЛ. 25МЛ | ЭДАС ХОЛДИНГ ОАО | ЭДАС ХОЛДИНГ ОАО,,Без рецепта,,otc,,,,,,otc,,,,otc
"ЭВКАЛИПТА ПРУТОВИДНОГО ЛИСТЬЯ Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Эвкалипта прутовидного листьев,otc,,,Этилметилгидроксипиридина сукцинат,rx,,,,otc,,,Этилметилгидроксипиридина сукцинат,
ЧЕРЕДЫ ТРАВА 50Г ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО,,otc,,,Этилметилгидроксипиридина сукцинат,rx,,,,otc,,,Этилметилгидроксипиридина сукцинат,
"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО",,otc,,,Этилметилгидроксипиридина сукцинат,rx,,,,otc,,,Этилметилгидроксипиридина сукцинат,
ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ №50 | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О. | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон,rx,Ципротерон,rx,,,,,Ципротерон,rx,,,Ципротерон,rx
ЦЕЛЕКОКСИБ-ТЕВА КАПС. 200МГ №30 | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб,rx,Целекоксиб,rx,,,,,Целекоксиб,rx,,,Целекоксиб,rx
ХИЛАК ФОРТЕ КАПЛИ Д/ПРИЕМА ВНУТРЬ ВИШНЯ ФЛ. 100МЛ | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,,otc,"Метаболиты бактерий Escherichia col., Enterococcus faec., Lactobacillus acid., Lactobacillus helv",otc,Метаболиты бактерий,otc,,,Противодиарейные микроорганизмы,otc,,,,otc
ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Нитрофурал,rx,Нитрофурал,otc,,otc,,,Прокаин,otc,,,,otc
ФЛУОКСЕТИН КАПС. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Флуоксетин,rx,Флуоксетин,rx,,,Флуоксетин,,,,,,Флуоксетин,
