normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc
"ОТРИВИН КОМПЛЕКС СПРЕЙ НАЗ. 0,6МГ/МЛ + 0,5МГ/МЛ (84МКГ/ДОЗА+70МКГ/ДОЗА) ФЛ. 10МЛ | ГКС КОНСЬЮМЕР ХЕЛС С.А. | ГКС КОНСЬЮМЕР ХЕЛС С.А.",,otc,,,Ксилометазолин,otc,"Ипратропия бромид, Ксилометазолин",,Ксилометазолин,otc,,,Ксилометазолин,otc
ОМЕПРАЗОЛ-ОBL КАПС. КИШ/РАСТ. 20МГ №28 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Омепразол,rx,Омепразол,rx,Омепразол,rx,Омепразол,rx,,,,,Омепразол,rx
"ОМЕГА ДЕЛЬ МАР ОМЕГА-3 ИЗ МОРСКИХ ВОДОРОСЛЕЙ КАПС. МАССОЙ 0,3Г №100 | ЭККО ПЛЮС ООО | ЭККО ПЛЮС ООО",,,,,Бифидобактерии бифидум,otc,,,,,,,Бифидобактерии бифидум,
ОМЕГА-3 90% КАПС. ПО 1400МГ №60 ФФ | ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО | ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО,Омега-3,,,,,,,,,rx,,,,
ОМЕГА-3 35% ДЛЯ БЕРЕМЕННЫХ И КОРМЯЩИХ ЖЕНЩИН КАПС. 700МГ №60 | Полярис ООО | Полярис ООО,Омега-3,,,,,,Рыбий жир,,,,,,Рыбий жир,
НЭЙЧЕС БАУНТИ ОМЕГА-3 900МГ КАПС. №90 | NATURES BOUNTY INC. | NATURES BOUNTY INC.,Омега-3 жирные кислоты,,,,,otc,,,,,,,,
НУРОФАСТ ТАБЛ. П/ПЛЕН/ОБ. 200МГ №20 | АЛИУМ АО | АЛИУМ АО,Ибупрофен,otc,Ибупрофен,otc,Ибупрофен,otc,Ибупрофен,,Ибупрофен,otc,,,Ибупрофен,otc
НО-ШПА ДУО ТАБЛ. 40МГ+500МГ №12 | ХИНОИН ЗАВОД ФАРМАЦЕВТИЧЕСКИХ И ХИМИЧЕСКИХ ПРОДУКТОВ ЗАО/ОПЕЛЛА ХЕЛСКЕА ВЕНГРИЯ ЛТД | ХИНОИН ЗАВОД ФАРМАЦЕВТИЧЕСКИХ И ХИМИЧЕСКИХ ПРОДУКТОВ ЗАО/ОПЕЛЛА ХЕЛСКЕА ВЕНГРИЯ ЛТД,Дротаверин + Парацетамол,Без рецепта,,,Дротаверин + Парацетамол,otc,"Парацетамол, Дротаверин",,Парацетамол,otc,,,"Парацетамол, Дротаверин",otc
НООТРОП КАПС. №48 | ВИС ООО | ВИС ООО,,,,,,,,,,,,,,
НООКЛЕРИН Р-Р Д/ПРИЕМА ВНУТРЬ 200МГ/МЛ ФЛ. 100МЛ | ЭКОХИМ-ИННОВАЦИИ ООО | ЭКОХИМ-ИННОВАЦИИ ООО,,,,,Деанола ацеглумат,rx,Деанола ацеглумат,rx,Деанол ацеглумат,rx,,,Деанола ацеглумат,rx
"НОЛЬПАЗА ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №28 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Пантопразол,rx,Пантопразол,rx,Пантопразол,rx,Пантопразол,rx,Пантопразол,otc,,,Пантопразол,rx
"НОЛЬПАЗА ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №14 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Пантопразол,rx,Пантопразол,rx,Пантопразол,rx,Пантопразол,rx,Пантопразол,otc,,,Пантопразол,rx
"НИКОРЕТТЕ СПРЕЙ Д/СЛИЗИСТ. ОБОЛОЧ. ПОЛОСТИ РТА ДОЗИР. ФРУКТОВО-МЯТНЫЙ 1МГ/ДОЗА ФЛ. 13,2МЛ 150ДОЗ №2 | МАКНИЛ АБ | МАКНИЛ АБ",,otc,Никотин,otc,Никотин,otc,Никотин,,Никотин,otc,,,Никотин,otc
"МЯТЫ ПЕРЕЧНОЙ ЛИСТЬЯ Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Мяты перечной листья,otc,,,Этилметилгидроксипиридина сукцинат,rx,,,,otc,,,Этилметилгидроксипиридина сукцинат,
МУКОСАТ МАЗЬ Д/НАРУЖ. ПРИМ. 5% ТУБА 30Г | ЗЕЛЕНАЯ ДУБРАВА ЗАО | ЗЕЛЕНАЯ ДУБРАВА ЗАО,,otc,,,Троксерутин,otc,,,,,,,Троксерутин,
МИКРОГИНОН ТАБЛ. П/О 150МКГ+30МКГ №21 | ДЕЛЬФАРМ ЛИЛЛЬ С.А.С | ДЕЛЬФАРМ ЛИЛЛЬ С.А.С,,rx,,,Левоноргестрел+Этинилэстрадиол,rx,"Этинилэстрадиол, Левоноргестрел",rx,Этинилэстрадиол,rx,,,"Этинилэстрадиол, Левоноргестрел",rx
МЕЛЬДОНИЙ КАПС. 500МГ №60 ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Мельдоний,rx,Метамизол натрия,rx,Парацетамол,otc,Валацикловир,rx,Флурбипрофен,otc,,,,rx
"МЕЛИССЫ ЛЕКАРСТВЕННОЙ ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Мелиссы лекарственной трава,Без рецепта,,,Этилметилгидроксипиридина сукцинат,rx,,,,otc,,,Этилметилгидроксипиридина сукцинат,
МЕКСИПРИМ ТАБЛ. П/ПЛЕН/ОБ. 125МГ №60 | ОБНИНСКАЯ ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ КОМПАНИЯ | ОБНИНСКАЯ ХИМИКО-ФАРМАЦЕВТИЧЕСКАЯ КОМПАНИЯ,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx
"МАКСИКОЛД ЛОР ТАБС ДВОЙНОЕ ДЕЙСТВИЕ ТАБЛ. Д/РАССАС. 8,75МГ+1МГ №20 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА / ОТИСИФАРМ ПРО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА / ОТИСИФАРМ ПРО",Бензокаин + Цетилпиридиния хлорид,otc,,,Гексэтидин,otc,"Флурбипрофен, Цетилпиридиния хлорид",,Гексэтидин,otc,,,Гексэтидин,otc
"ЛЬНЯНОЕ МАСЛО АЛТАЙ ОМЕГА-3 0,5Г КАПС. №60 | АЛТАЙВИТАМИНЫ ЗАО | АЛТАЙВИТАМИНЫ ЗАО",,,,,Пиридоксин* + Цианокобаламин* + Фолиевая кислота,otc,,,,,,,"Пиридоксин, Цианокобаламин, Фолиевая кислота",
ЛОРНОКСЕФ ТАБЛ. П/ПЛЕН/ОБ. 8МГ №10 | ФАРМПРОЕКТ АО | ФАРМПРОЕКТ АО,Лорноксикам,rx,Лорноксикам,rx,Лорноксикам,rx,Лорноксикам,rx,Лорноксикам,rx,,,Лорноксикам,rx
ЛОПЕРАМИД ТАБЛ. 2МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Лоперамид,otc,Лоперамид,otc,,,Лоперамид,,,,,,Лоперамид,
"ЛОКОИД КРЕЛО ЭМУЛЬСИЯ Д/НАРУЖ. ПРИМ. 0,1% ФЛ. 30Г | ТЕММЛЕР ИТАЛИА С.Р.Л | ТЕММЛЕР ИТАЛИА С.Р.Л",Гидрокортизон,rx,Гидрокортизон,otc,Гидрокортизон,otc,Гидрокортизон,,Гидрокортизона бутират,otc,,,Гидрокортизон,otc
"ЛОЗАРТАН Н ТАБЛ. П/ПЛЕН/ОБ. 12,5МГ+100МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО",Лозартан + Гидрохлоротиазид,rx,Гидрохлоротиазид + Лозартан,rx,,,"Гидрохлоротиазид, Лозартан",rx,,,,,"Гидрохлоротиазид, Лозартан",rx
ЛОЗАРТАН-ВЕРТЕКС ТАБЛ. П/ПЛЕН/ОБ. 25МГ №30 | ВЕРТЕКС АО | ВЕРТЕКС АО,Лозартан,rx,Лозартан,rx,Лозартан,rx,Лозартан,rx,Лозартан,rx,,,Лозартан,rx
ЛИЗИНОПРИЛ-ТЕВА ТАБЛ. 10МГ №30 Р-ФАРМ | Р-ФАРМ НОВОСЕЛКИ ООО | Р-ФАРМ НОВОСЕЛКИ ООО,Лизиноприл,rx,Лизиноприл,rx,Лизиноприл,rx,Лизиноприл,rx,Лизиноприл,rx,,,Лизиноприл,rx
ЛИЗИНОПРИЛ ТАБЛ. 5МГ №30 БИОХИМИК | БИОХИМИК АО | БИОХИМИК АО,Лизиноприл,rx,Хондроитина сульфат,otc,,,,,,,,,Хондроитина сульфат,
ЛИЗИНОПРИЛ ТАБЛ. 20МГ №20 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Лизиноприл,rx,Эналаприл,rx,Мелоксикам,rx,Атенолол,rx,,,,,,rx
ЛИДОКАИН БУФУС Р-Р Д/ИН. 100МГ/МЛ АМП. 2МЛ №10 ОБНОВЛЕНИЕ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Лидокаин,rx,Лидокаин,rx,,,"Толперизон, Лидокаин",rx,,,,,"Лидокаин, Толперизон",rx
КРУШИНЫ КОРА Ф/П 2Г №20 ФИТО-БОТ | ФИТО-БОТ ФИРМА ООО | ФИТО-БОТ ФИРМА ООО,,otc,,,Полыни горькой трава,otc,,,,,,,Полыни горькой трава,
КОФЕИН-БЕНЗОАТ НАТРИЯ ТАБЛ. 100МГ №10 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Кофеин,rx,Кофеин,rx,Кофеин,rx,Кофеин,rx,Кофеин,rx,,,Кофеин,rx
КЛАРИТРОМИЦИН-OBL ТАБЛ. П/ПЛЕН/ОБ. 500МГ №7 АЛИУМ | АЛИУМ АО | АЛИУМ АО,Кларитромицин,rx,Кларитромицин,rx,,,,,,,,,Кларитромицин,
КЕТОПРОФЕН-АКОС ГЕЛЬ Д/НАРУЖ. ПРИМ. 5% ТУБА 30Г | СИНТЕЗ | СИНТЕЗ,Кетопрофен,rx,Кетопрофен,otc,,,,,Кетопрофен,rx,,,Кетопрофен,
КАРДИОЛИП ТАБЛ. П/ПЛЕН/ОБ. 10МГ №90 | АЛСИ ФАРМА ЗАО | АЛСИ ФАРМА ЗАО,,,Розувастатин,rx,Розувастатин,rx,,,Розувастатин,rx,,,Розувастатин,rx
КАРДИОЛИП ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | АЛСИ ФАРМА ЗАО | АЛСИ ФАРМА ЗАО,,,Розувастатин,rx,Розувастатин,rx,,,Розувастатин,rx,,,Розувастатин,rx
КАНДЕСАРТАН ТАБЛ. 16МГ №28 БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ,Кандесартан,rx,Кандесартан,rx,,,,,,,,,Кандесартан,
КАЛЬЦИЯ ГЛЮКОНАТ ЭКО ТАБЛ. ПО 500МГ №10 | ЭКОТЕКС ООО | ЭКОТЕКС ООО,Кальция глюконат,Без рецепта,,,,,,,,,,,,
КАЛЕНДУЛЫ НАСТОЙКА ФЛ. 25МЛ ИВАНОВСКАЯ ФФ | ИВАНОВСКАЯ ФФ | ИВАНОВСКАЯ ФФ,Календулы лекарственной цветков настойка,otc,,,Натрия тетраборат,otc,,,,,,,Натрия тетраборат,
ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,Йод,otc,,,Боярышника плодов настойка,otc,,,,,,,Боярышника плодов настойка,
ЙОДИНОЛ Р-Р Д/МЕСТН. И НАРУЖ. ПРИМ. ФЛ. ПОЛИМЕР. 100МЛ САМАРАМЕДПРОМ | САМАРАМЕДПРОМ ОАО | САМАРАМЕДПРОМ ОАО,Йод,otc,Йод + [Калия йодид + Поливиниловый спирт],otc,,,,,Йод,otc,,,"Йод, Калия йодид, Поливиниловый спирт",otc
ЙОВИДОКС МАЗЬ Д/НАРУЖ. ПРИМ. 10% ТУБА 20Г | Тульская фармацевтическая фабрика ООО | Тульская фармацевтическая фабрика ООО,,,Повидон-йод,otc,,,,,,,,,Повидон-йод,
ИТОПРИД ВЕЛФАРМ ТАБЛ. П/ПЛЕН/ОБ. 50МГ №40 | ВЕЛФАРМ ООО | ВЕЛФАРМ ООО,Итоприд,rx,Каптоприл,rx,Карбамазепин,rx,,,Менадион,rx,,,,rx
ИЗЖОГАНЕТ АНТАЦИДНЫЙ КОМПЛЕКС СО ВКУСОМ МЯТЫ ТАБЛ. 600МГ №40 | ГРИН САЙД ООО | ГРИН САЙД ООО,,otc,,,,otc,,,,,,,,
ИБУПРОФЕН ВЕЛФАРМ ТАБЛ. П/ПЛЕН/ОБ. 400МГ №30 УРАЛБИОФАРМ | УРАЛБИОФАРМ ОАО | УРАЛБИОФАРМ ОАО,Ибупрофен,otc,Ацикловир,rx,Адеметионин,otc,,,Менадион,rx,,,,rx
ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,Зверобоя трава,otc,,,,otc,,,,,,,,
ДЮФАЛАК СИРОП 667МГ/МЛ ПАК. 15МЛ №10 | ЭББОТ БИОЛОДЖИКАЛЗ Б.В./ВЕРОФАРМ АО | ЭББОТ БИОЛОДЖИКАЛЗ Б.В./ВЕРОФАРМ АО,Лактулоза,otc,Лактулоза,otc,Лактулоза,otc,,,Лактулоза,otc,,,Лактулоза,otc
ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,Мебеверин,rx,Мебеверин + Симетикон,otc,Мебеверин,otc,,,Симетикон,otc,,,"Мебеверин, Симетикон",otc
ДОЛГИТБЛОК ГЕЛЬ Д/НАРУЖ. ПРИМ. 5%+3% ТУБА 20Г | ДОЛОРГИТ ГМБХ И КО.КГ | ДОЛОРГИТ ГМБХ И КО.КГ,,otc,Ибупрофен + Левоментол,otc,Ибупрофен+ Левоментол,otc,,,Ибупрофен,otc,,,"Ибупрофен, Левоментол",otc
ДОКСАЗОЗИН ТАБЛ. 2МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Доксазозин,rx,Доксазозин,rx,,,,,,,,,Доксазозин,
ДИОСМИН ТАБЛ. П/ПЛЕН/ОБ. 600МГ №60 ОЗОН | ОЗОН ООО | ОЗОН ООО,Диосмин,otc,Диосмин,otc,Диосмин,otc,,,Диосмин,otc,,,Диосмин,otc
ДИОВЕНГЕС ТАБЛ. П/ПЛЕН/ОБ. 100МГ+900МГ №30 | ФАРМВИЛАР НПО ООО | ФАРМВИЛАР НПО ООО,,,,,Гесперидин + Диосмин,otc,,,Диосмин,otc,,,"Диосмин, Гесперидин",otc
ДИКЛОФЕНАК-АКОС Р-Р ДЛЯ В/М ВВЕД. 25МГ/МЛ АМП. 3МЛ №5 | СИНТЕЗ | СИНТЕЗ,Диклофенак,rx,Диклофенак,rx,Диклофенак,otc,Диклофенак,rx,Диклофенак,rx,,,Диклофенак,rx
"ДИКЛОФЕНАК-АКОС КАПЛИ ГЛАЗН. 0,1% ФЛ. 5МЛ | СИНТЕЗ | СИНТЕЗ",Диклофенак,rx,,,Диклофенак,otc,,,Диклофенак,rx,,,Диклофенак,
"ДИБАЗОЛ ТАБЛ. 0,02Г №10 МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ",Бендазол,rx,Бендазол,otc,,,,,Бендазол,otc,,,Бендазол,otc
ДЖОЗАФЕН ТАБЛ. П/ПЛЕН/ОБ. 500МГ №10 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Джозамицин,rx,Джозамицин,rx,Джозамицин,rx,,,Джозамицин,rx,,,Джозамицин,rx
ДЕТРАЛЕКС ТАБЛ. П/ПЛЕН/ОБ. 1000МГ №60 | СЕРВЬЕ РУС ООО | СЕРВЬЕ РУС ООО,диосмин+гесперидин,rx,Очищенная микронизированная флавоноидная фракция (диосмин + флавоноиды в пересчете на гесперидин),otc,Гесперидин + Диосмин,otc,,,Очищенная микронизированная флавоноидная фракция (диосмин+флавоноиды в пересчете на гесперидин),otc,,,"Очищенная микронизированная флавоноидная фракция (диосмин, флавоноиды в пересчете на гесперидин)",otc
ДЕПАКИН ХРОНОСФЕРА ГРАН. ПРОЛОНГ. 100МГ ПАК. №30 | САНОФИ ВИНТРОП ИНДУСТРИЯ | САНОФИ ВИНТРОП ИНДУСТРИЯ,Вальпроевая кислота,rx,Вальпроевая кислота,rx,,,,,Вальпроевая кислота,rx,,,Вальпроевая кислота,rx
ДЕКСАМЕТАЗОН Р-Р Д/ИН. 4МГ/МЛ АМП. 1МЛ №10 ЭСКОМ | ЭСКОМ НПК | ЭСКОМ НПК,Дексаметазон,rx,Декстроза,rx,Натрия хлорид,rx,,,Этамзилат,rx,,,,rx
"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон,rx,Дексаметазон,rx,Дексаметазон,rx,,,Дексаметазон,rx,,,Дексаметазон,rx
ДЕКСА-ГЕНТАМИЦИН КАПЛИ ГЛАЗН. ФЛ-КАП. 5МЛ | УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ | УРСАФАРМ АРЦНАЙМИТТЕЛЬ ГМБХ,Дексаметазон + Гентамицин,rx,Гентамицин + Дексаметазон,rx,,,,,Дексаметазон,rx,,,"Дексаметазон, Гентамицин",rx
ДАБИКСОМ КАПС. 150МГ №60 | КРКА-РУС ООО | КРКА-РУС ООО,дабигатрана этексилат,rx,Дабигатрана этексилат,rx,Дабигатрана этексилат,rx,,,Дабигатрана этексилат,rx,,,Дабигатрана этексилат,rx
ГРОПРИНОСИН ТАБЛ. 500МГ №30 | ГЕДЕОН РИХТЕР ПОЛЬША ООО/ГЕДЕОН РИХТЕР-РУС АО | ГЕДЕОН РИХТЕР ПОЛЬША ООО/ГЕДЕОН РИХТЕР-РУС АО,Инозин пранобекс,rx,Инозин пранобекс,rx,Инозин* пранобекс,rx,,,Инозин пранобекс,rx,,,Инозин пранобекс,rx
ГОПАНТОМИД ТАБЛ. 250МГ №50 | УСОЛЬЕ-СИБИРСКИЙ ХИМИКО-ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО | УСОЛЬЕ-СИБИРСКИЙ ХИМИКО-ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО,Гопантеновая кислота,rx,Гопантеновая кислота,rx,Гопантеновая кислота,rx,,,Гопантеновая кислота,rx,,,Гопантеновая кислота,rx
"ГЛЮКОВАНС ТАБЛ. П/ПЛЕН/ОБ. 2,5МГ+500МГ №30 | МЕРК САНТЭ С.А.С. | МЕРК САНТЭ С.А.С.",Метформин+Глибенкламид,rx,,,Глибенкламид*+ Метформин,rx,,,Метформин,rx,,,"Метформин, Глибенкламид",rx
ГЛИЦИН ФОРТЕ ТАБЛ. ЗАЩЕЧН. И П/ЯЗЫЧН. 250МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Глицин,Без рецепта,Глицин,rx,,,,,Глицин,rx,,,Глицин,rx
ГЛИЦИН ТАБЛ. П/ЯЗЫЧН. 100МГ №50 ОЗОН ФАРМ | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,Глицин,otc,Глицин,otc,Омепразол,rx,Мелоксикам,rx,,,,,,rx
ГЛИЦИН ТАБЛ. П/ЯЗЫЧН. 100МГ №50 ОЗОН | ОЗОН ООО | ОЗОН ООО,Глицин,Без рецепта,Мебгидролин,otc,Доксициклин,rx,Мелоксикам,rx,Глицин,otc,,,,otc
ГЛИБЕНКЛАМИД ТАБЛ. 5МГ №120 ОЗОН ФАРМ | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,Глибенкламид,rx,Амброксол,otc,Омепразол,rx,Мелоксикам,rx,,,,,,rx
ГЕПАВИЗИМ ФОСФОЛИПИДЫ+L-ОРИНИТИН+КУРКУМИН КАПС. ПО 495МГ №30 | ВТФ ООО | ВТФ ООО,,БАД,,,,otc,,,,,,,,
ГАМАМЕЛИС ДН СУПП. РЕКТ. ГОМЕОП. №6 | ДОКТОР Н ООО | ДОКТОР Н ООО,,,,otc,,otc,,,,otc,,,,otc
ВИЛДАГЛИПТИН-ВЕРТЕКС ТАБЛ. 50МГ №56 | ВЕРТЕКС АО | ВЕРТЕКС АО,Вилдаглиптин,rx,Вилдаглиптин,rx,Вилдаглиптин,rx,,,Вилдаглиптин,rx,,,Вилдаглиптин,rx
"ВИДОРА МИКРО ТАБЛ. П/ПЛЕН/ОБ. 3МГ+0,02МГ №21+7 | ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А. | ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.",Дроспиренон + Этинилэстрадиол,rx,,,Дроспиренон + Этинилэстрадиол,rx,,,Этинилэстрадиол,rx,,,"Этинилэстрадиол, Дроспиренон",rx
ВЕЧЕРНЕЕ ВАЛЕРИАНА+МЯТА+МЕЛИССА ДРАЖЕ №50 ПАРАФАРМ | ПАРАФАРМ ООО | ПАРАФАРМ ООО,,otc,,,,otc,,,,,,,,
БРОМГЕКСИН ТАБЛ. 8МГ №20 ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,Бромгексин,rx,Бромгексин,otc,Бромгексин,otc,,,Бромгексин,otc,,,Бромгексин,otc
БИСОПРОЛОЛ-АЛСИ ТАБЛ. 5МГ №60 | АЛСИ ФАРМА АО | АЛСИ ФАРМА АО,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,,,Бисопролол,rx,,,Бисопролол,rx
БИСОПРОЛОЛ-АКОС ТАБЛ. П/ПЛЕН/ОБ. 5МГ №30 | БИОКОМ ЗАО | БИОКОМ ЗАО,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,,,Бисопролол,rx,,,Бисопролол,rx
БИСОПРОЛОЛ-АКОС ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | БИОКОМ ЗАО | БИОКОМ ЗАО,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,,,Бисопролол,rx,,,Бисопролол,rx
БИОРИТМ АНТИСТРЕСС 24 ДЕНЬ/НОЧЬ ТАБЛ. П/О №32 | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,,over_the_counter,,,Гинкго двулопастного листьев экстракт,otc,,,Общетонизирующие препараты,otc,,,,otc
"БИАФИШЕНОЛ ОМЕГА 3 МАГНИЙ B6 КАПС. ПО 0,35Г №40 + КАПС. ПО 0,6Г №40 | БИОФАРМ ООО | БИОФАРМ ООО",Комплекс,,,,Омега-3,otc,,,,,,,Омега-3,
БЕТАГИСТИН ТАБЛ. 8МГ №30 ОЗОН | ОЗОН ООО/ОЗОН ФАРМ ООО | ОЗОН ООО/ОЗОН ФАРМ ООО,Бетагистин,rx,Бетагистин,rx,,,,,,,,,Бетагистин,
БЕТАГИСТИН ТАБЛ. 16МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Бетагистин,rx,Бетагистин,rx,Омепразол,rx,Мелоксикам,rx,Глицин,otc,,,,rx
БЕТАГИСТИН СОЛОФАРМ ТАБЛ. 16МГ №30 | ГРОТЕКС ООО | ГРОТЕКС ООО,Бетагистин,rx,Бетагистин,rx,Кромоглициевая кислота,otc,,,Суматриптан,rx,,,,rx
"БЕЛОДЕРМ КРЕМ Д/НАРУЖ. ПРИМ. 0,05% ТУБА 30Г | БЕЛУПО | БЕЛУПО",Бетаметазон,rx,Бетаметазон,otc,Бетаметазон,otc,,,Бетаметазон,otc,,,Бетаметазон,otc
БЕКЛОМЕТАЗОН АЭРОЗ. Д/ИНГ. ДОЗИР. 250МКГ/ДОЗА 200ДОЗ | БИННОФАРМ АО | БИННОФАРМ АО,Беклометазон,rx,Беклометазон,rx,Беклометазон,rx,,,Ибупрофен,rx,,,Беклометазон,rx
АЦИКЛОВИР ТАБЛ. 200МГ №20 АВЕКСИМА | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Ацикловир,rx,Нифуроксазид,otc,Инозин,rx,,,Азитромицин,rx,,,,rx
АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА ПЛЮС РЕНЕВАЛ ТАБЛ. 500МГ+25МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Ацетилсалициловая кислота + Аскорбиновая кислота,Без рецепта,Ацетилсалициловая кислота + Аскорбиновая кислота,otc,Натрия хлорид,rx,"Ацетилсалициловая кислота, Аскорбиновая кислота",,Розувастатин,rx,,,"Аскорбиновая кислота, Ацетилсалициловая кислота",rx
АТОРВАСТАТИН-ФП ТАБЛ. П/ПЛЕН/ОБ. 20МГ №30 | ФАРМПРОЕКТ АО | ФАРМПРОЕКТ АО,Аторвастатин,rx,Аторвастатин,rx,,,,,,,,,Аторвастатин,
АТОРВАСТАТИН-ТЕВА ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 АЛКАЛОИД | АЛКАЛОИД АД Скопье | АЛКАЛОИД АД Скопье,Аторвастатин,rx,Аторвастатин,rx,Аторвастатин,rx,,,Аторвастатин,rx,,,Аторвастатин,rx
АТОРВАСТАТИН-СЗ ТАБЛ. П/ПЛЕН/ОБ. 20МГ №30 | СЕВЕРНАЯ ЗВЕЗДА НАО | СЕВЕРНАЯ ЗВЕЗДА НАО,Аторвастатин,rx,Аторвастатин,rx,Аторвастатин,rx,,,Аторвастатин,rx,,,Аторвастатин,rx
АТОРВАСТАТИН МЕДИСОРБ ТАБЛ. П/ПЛЕН/ОБ. 40МГ №30 | МЕДИСОРБ АО | МЕДИСОРБ АО,Аторвастатин,rx,Аторвастатин,rx,Валсартан,rx,,,Метформин,rx,,,,rx
АСКОРБИНОВАЯ КИСЛОТА-МАРБИОФАРМ С САХАРОМ ТАБЛ. СО ВКУСОМ КЛУБНИКИ 25МГ №10 | МАРБИОФАРМ ОАО | МАРБИОФАРМ ОАО,Аскорбиновая кислота,,Аскорбиновая кислота,otc,Тиоктовая кислота,rx,,,,,,,,
АРТОГИСТАН Р-Р ДЛЯ В/М ВВЕД. 100МГ/МЛ АМП. 2МЛ №10 | ГРОТЕКС ООО | ГРОТЕКС ООО,,rx,Хондроитина сульфат,rx,Хондроитина сульфат,rx,,,Хондроитина сульфат натрия,rx,,,Хондроитина сульфат,rx
