product_id,run_id_source,mnn_enrichment_run_id,normalized_text,product_kind,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,source_canonical_json,component_stats_json,resolved_mnn,resolved_mnn_components,mnn_resolution_status,resolution_reason,resolved_rx_otc,resolved_age_segment,needs_mnn_enrichment,enrichment_called,mnn_enrichment_status,mnn_enriched,rx_otc_enriched,age_enriched,final_candidate_mnn,final_mnn_method,retry_count,needs_human_review,evidence_urls,idempotency_key
72,409,459,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,drug,,otc,,,,otc,,,,,"[{""source"": ""asna"", ""raw_mnn"": null, ""field_type"": ""unknown"", ""canonical_components"": [], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,empty,unknown,unknown,True,True,ok,,unknown,универсальный,,,0,True,https://www.webapteka.ru/drugbase/name11423.html | https://grls.rosminzdrav.ru/ | https://rlp2.test.egisz.rosminzdrav.ru/registries/grls | https://grls.rosminzdrav.ru/ | https://www.webapteka.ru/drugbase/name11423.html | https://www.eurolab-portal.ru/medicine/vitamins/9800/ | https://www.rlsnet.ru/baa/faringal-10921 | https://www.rlsnet.ru/drugs/faringal-10921 | https://aptekamos.ru/tovary/izdeliya-med-naznacheniya/zveroboya-travy-ekstrakt-kalenduly-cvetkov-ekstrakt-soloki-korneyo-ekstrakt-tysyachelistnika-travy-ekstrakt-shipovnika-plodov-ekstrakt-8467/faringal-sredstvo-antisepticheskoe-dlya-polosti-rta-tabletki-massoyo-0-65g-29229/instrukciya | https://www.medsovet.info/herb/15570 | https://www.vidal.ru/drugs/pharyngol_edas-126__35654 | https://minzdrav.gov.ru/opendata/7707778246-grls/visual,4327b96f4424a5f8700b52e97721c7d1
73,409,459,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,drug,,otc,,,Кальция карбонат + Магния карбонат,otc,"Кальция карбонат, Магния карбонат",,Кальция карбонат,otc,"[{""source"": ""apteka"", ""raw_mnn"": ""Кальция карбонат, Магния карбонат"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Кальция карбонат"", ""Магния карбонат""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Кальция карбонат + Магния карбонат"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Кальция карбонат"", ""Магния карбонат""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Кальция карбонат"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Кальция карбонат""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Кальция карбонат"", ""source_count"": 3, ""sources"": [""apteka"", ""asna"", ""vidal""]}, {""component"": ""Магния карбонат"", ""source_count"": 2, ""sources"": [""apteka"", ""asna""]}]","Кальция карбонат, Магния карбонат","Кальция карбонат, Магния карбонат",resolved_catalog,consensus,otc,unknown,False,False,,,unknown,unknown,"Кальция карбонат, Магния карбонат",catalog_consensus,0,False,,f6c05ead544151433845478ea9b154b8
75,409,459,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,drug,,otc,,,,,,,,,[],[],,,unresolved_catalog,empty,unknown,unknown,True,True,ok,,unknown,универсальный,,,0,True,https://apteka.ru/product/green-side-sambukus-buzina-immunitet-sirop-150ml-61c46cf973341e2e5c7a457e/instructions/ | https://aptekamos.ru/tovary/bad/sambukus-buzina-immunitet-16707/sambukus-buzina-immunitet-sirop-greenside-150ml-108621/instrukciya | https://apteka.ru/product/green-side-sambukus-buzina-immunitet-sirop-150ml-61c46cf973341e2e5c7a457e/instructions/ | https://medum.ru/sambukus-buzina-immunitet-sirop | https://www.lsgeotar.ru/ru/sambukus-buzina-immunitet-sirop-39768.html | https://medum.ru/sambukus-buzina-immunitet-sirop | https://medum.ru/sambucus-elderberry-immunity-syrup | https://apteka.ru/product/green-side-sambukus-buzina-immunitet-sirop-150ml-61c46cf973341e2e5c7a457e/instructions/ | https://aptekamos.ru/tovary/bad/sambukus-buzina-immunitet-16707/sambukus-buzina-immunitet-sirop-greenside-150ml-108621/instrukciya | https://www.lsgeotar.ru/ru/sambukus-buzina-immunitet-sirop-39768.html | https://zdravcity.ru/p_sambukus-buzina-immunitet-bez-sahara-green-side-grin-sajd-tabletki-700mg-30sht-0185008.html | https://fedsp.com/catalog/health/zdorove-i-profilaktika/green-side-sambukus-buzina-immunitet-30-700-mg-105569477,8098460f5d0fcd67a1a034219bd7d6fd
86,409,459,ТАДАЛАФИЛ-АЛИУМ 20мг N8 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N8,drug,Тадалафил,rx,Ацикловир,rx,Ривароксабан,rx,Ацикловир,rx,Албендазол,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Ацикловир"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ацикловир""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Ацикловир"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ацикловир""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Ривароксабан"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ривароксабан""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Албендазол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Албендазол""], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,equal_conflict,rx,unknown,True,True,ok,Тадалафил,rx,взрослые,Тадалафил,enrichment,0,False,https://www.vidal.ru/drugs/tadalafil-alium | https://www.lsgeotar.ru/drugs/tadalafil-alium-AFED | https://megapteka.ru/specials/guide_tadalafil-instrukciya-po-1371 | https://health.mail.ru/drug/tadalafilalium/ | https://health.mail.ru/drug/tadalafilalium/ | https://www.vidal.ru/drugs/tadalafil-alium | https://megapteka.ru/specials/guide_tadalafil-instrukciya-po-1371 | https://health.mail.ru/drug/tadalafilalium/ | https://www.vidal.ru/drugs/tadalafil-alium | https://medum.ru/tadalafil-alium | https://www.vidal.ru/drugs/tadalafil-17 | https://www.rlsnet.ru/drugs/tadalafil-76150,2031b8ad707e6ce673739a8d4184daf0
88,410,459,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,drug,Диосмин+Гесперидин,otc,,,Бензалкония хлорид + Бензокаин + Тиротрицин,otc,Албендазол,rx,Албендазол,rx,"[{""source"": ""apteka"", ""raw_mnn"": ""Албендазол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Албендазол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Бензалкония хлорид + Бензокаин + Тиротрицин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Бензалкония хлорид"", ""Бензокаин"", ""Тиротрицин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Албендазол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Албендазол""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Албендазол"", ""source_count"": 2, ""sources"": [""apteka"", ""vidal""]}]",Албендазол,Албендазол,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Албендазол,catalog_consensus,0,False,,d99d64b0d58ef5aca4474de0e8494023
92,410,459,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,drug,,rx,Тадалафил,rx,Тадалафил,rx,Тадалафил,rx,Тадалафил,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Тадалафил"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Тадалафил""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Тадалафил"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Тадалафил""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Тадалафил"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Тадалафил""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Тадалафил"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Тадалафил""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Тадалафил"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Тадалафил,Тадалафил,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Тадалафил,catalog_consensus,0,False,,6dd635e9130a6d0d30b59eeffd932a39
249,410,459,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,drug,,otc,,,,otc,,,,otc,"[{""source"": ""asna"", ""raw_mnn"": null, ""field_type"": ""unknown"", ""canonical_components"": [], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": null, ""field_type"": ""unknown"", ""canonical_components"": [], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,empty,otc,unknown,True,True,ok,,unknown,взрослые,,,0,True,https://grls.rosminzdrav.ru/ | https://www.vidal.ru/drugs/osteomed | https://edu-rosminzdrav.ru/gosudarstvennyj-reestr-lekarstvennyx-sredstv-rossijskoj-federacii-2/ | https://www.vidal.ru/drugs/osteomed | https://www.eapteka.ru/goods/vitaminy_i_bad/biologicheski_aktivnye_dobavki/bad_vitaminsoderzhashchie_mineraly/vitaminno_mineralnye_kompleksy/osteomed/ | https://grls.rosminzdrav.ru/ | https://www.lsgeotar.ru/supplements/osteomed-AEmL | https://www.vidal.ru/drugs/osteomed | https://medum.ru/osteomed | https://www.vidal.ru/drugs/osteomed-forte | https://medum.ru/osteomed-tabletki | https://www.webapteka.ru/drugbase/name67219.html,492a07cbfab44046176474ff22df06c2
354,411,459,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО",drug,,otc,,,,otc,,,,,"[{""source"": ""asna"", ""raw_mnn"": null, ""field_type"": ""unknown"", ""canonical_components"": [], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,empty,unknown,unknown,True,True,ok,Эхинацеи пурпурной трава,otc,взрослые,Эхинацеи пурпурной трава,enrichment,0,False,https://www.rlsnet.ru/active-substance/exinacei-purpurnoi-trava-1801 | https://www.vidal.ru/drugs/echinaceae_purpurae_herba__30449 | https://www.vidal.ru/drugs/echinaceae_purpurae_herba__30448 | https://medum.ru/ekhinacei-purpurnoj-trava | https://health.mail.ru/drug/ehinatsei-purpurnoy-trava/ | https://www.rlsnet.ru/drugs/exinacei-purpurnoi-trava-5427 | https://medi.ru/instrukciya/ehinatsei-purpurnoy-trava_25199/ | https://www.rlsnet.ru/baa/exinacei-purpurnoi-trava-5427 | https://health.mail.ru/drug/ehinatsei-purpurnoy-trava/ | https://medi.ru/instrukciya/ehinatsei-purpurnoy-trava_25199/ | https://medum.ru/ekhinacei-purpurnoj-trava | https://medum.ru/ehkhinacei-purpurnoj-trava,5b2953d53743b0fb73a9fa94265bf11a
456,411,459,"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",drug,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Эторикоксиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эторикоксиб""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Эторикоксиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эторикоксиб""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Эторикоксиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эторикоксиб""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Эторикоксиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эторикоксиб""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Эторикоксиб"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Эторикоксиб,Эторикоксиб,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Эторикоксиб,catalog_consensus,0,False,,c74f232fc728dbd823e815d7451de428
486,411,459,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,drug,Эсциталопрам,rx,Эсциталопрам,rx,,,,,Эсциталопрам,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Эсциталопрам"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эсциталопрам""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Эсциталопрам"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эсциталопрам""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Эсциталопрам"", ""source_count"": 2, ""sources"": [""uteka"", ""vidal""]}]",Эсциталопрам,Эсциталопрам,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Эсциталопрам,catalog_consensus,0,False,,be8eba9ad63e8625a5814694091d0c79
