product_id,normalized_text,baseline_attr_mnn,input_explicit_mnn,input_explicit_mnn_confidence,identity_gate_status,previous_catalog_mnn,previous_enrichment_mnn,previous_enrichment_status,pass_action,new_enrichment_called,new_enrichment_status,retry_count,new_mnn_enriched,new_rx_otc_enriched,new_age_enriched,final_candidate_mnn,final_mnn_method,needs_human_review,evidence_urls,research_summary,raw_artifact_path,identity_enrichment_run_id
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Нитрофурал,,none,resolved_enrichment,,Нитрофурал,ok,reuse_existing_enrichment,false,,0,,,,Нитрофурал,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,,none,resolved_catalog,Флуконазол,,,skip_catalog,false,,0,,,,Флуконазол,catalog_consensus,false,,pass_action=skip_catalog; catalog_consensus_retained,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
4570,ТОРАСЕМИД ТАБЛ. 5МГ №60 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Торасемид,Торасемид,high,resolved_enrichment,,Торасемид,ok,reuse_existing_enrichment,false,,0,,,,Торасемид,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
4593,ТОРАСЕМИД ТАБЛ. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Торасемид,Торасемид,high,resolved_input_explicit,,,,skip_strong_input_mnn,false,,0,,,,Торасемид,input_explicit_mnn,false,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
4602,ТОРАСЕМИД МЕДИСОРБ ТАБЛ. 5МГ №20 | Медисорб АО | Медисорб АО,Торасемид,Торасемид,high,resolved_enrichment,,Торасемид,ok,reuse_existing_enrichment,false,,0,,,,Торасемид,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
4684,ТОЛПЕРИЗОН ТАБЛ. П/ПЛЕН/ОБ. 150МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Толперизон,Толперизон,high,resolved_input_explicit,,,,skip_strong_input_mnn,false,,0,,,,Толперизон,input_explicit_mnn,false,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
5267,ТАМОКСИФЕН ТАБЛ. 20МГ №30 ОЗОН | ОЗОН ООО | ОЗОН ООО,Тамоксифен,Тамоксифен,high,resolved_enrichment,,Тамоксифен,ok,reuse_existing_enrichment,false,,0,,,,Тамоксифен,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
5287,"ТАДАЛАФИЛ-ТЕВА ТАБЛ. П/ПЛЕН/ОБ. 20МГ №8 | ТЕВА ФАРМА, С.Л.У. | ТЕВА ФАРМА, С.Л.У.",Тадалафил,,none,resolved_enrichment,,Тадалафил,ok,reuse_existing_enrichment,false,,0,,,,Тадалафил,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
5729,СТОМАТОФИТ ФРЕШ ОПОЛАСКИВАТЕЛЬ ДЛЯ ПОЛОСТИ РТА ФЛ. 250МЛ | Фитофарм кленка АО | Фитофарм кленка АО,,,none,resolved_enrichment,,"Ромашки Аптечной Цветки, Дуба Кора, Шалфея Лекарственного Листья, Арники Трава, Аира Обыкновенного Корневища, Мяты Перечной Трава, Тимьяна Трава",ok,reuse_existing_enrichment,false,,0,,,,"Ромашки Аптечной Цветки, Дуба Кора, Шалфея Лекарственного Листья, Арники Трава, Аира Обыкновенного Корневища, Мяты Перечной Трава, Тимьяна Трава",enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
6593,СИНДРАНОЛ ТАБЛ. ПРОЛОНГ. П/ПЛЕН/ОБ. 8МГ №28 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А. | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО/ФАРМАТЕН ИНТЕРНЕШНЛ С.А.,,,none,resolved_enrichment,,Ропинирол,ok,reuse_existing_enrichment,false,,0,,,,Ропинирол,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
